Gevonden: 309 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10027 | 33744 | Point (5.897564354964569 51.002279043326986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10085 | 22129 | Point (5.847451764480392 51.249575964184295)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10097 | 34916 | Point (5.7219569433542 51.19511024351718)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10189 | 30946 | Point (5.859508860508276 50.91423221945058)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10509 | 33332 | Point (5.88298548399966 50.94349182660851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10727 | 30886 | Point (5.817552863709339 50.90706096696159)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11102 | 34889 | Point (5.845875850680627 51.13223218140395)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11226 | 30935 | Point (5.868331964445287 50.90946769301184)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | 21245 | Point (5.927736339165435 50.90365919568971)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11545 | 28080 | Point (5.714124350841694 50.90081071174829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11632 | 23859 | Point (6.084655029286959 50.91612333494881)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11643 | 34858 | Point (5.760910411003283 50.94716839343961)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11788 | 8891 | Point (6.120657972659613 51.32509292464665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11808 | 8879 | Point (6.059519223537776 51.256372575475964)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12193 | 46804 | Point (5.881980534044062 50.91741026449865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12418 | 32684 | Point (6.011746464998685 51.19875885118052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13090 | 23862 | Point (6.045488657171499 50.91677528536043)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13386 | 8783 | Point (5.799662682464293 50.91282509177106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13688 | 23139 | Point (5.941063738865272 50.96834364362052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13708 | 23846 | Point (6.049357414349147 50.91783189371315)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13782 | 33770 | Point (5.864623109627817 50.990877712115115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13883 | 22849 | Point (5.804622751888144 51.16434335513595)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13907 | 23622 | Point (5.94159099890389 50.97075915213999)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14020 | 30934 | Point (5.8699264229756 50.90966779563538)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14280 | 521693 | Point (5.876977967390688 50.93513073805018)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14374 | 30915 | Point (5.88000250567501 50.91727488389679)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14623 | 8780 | Point (5.840511792200084 50.93883893144955)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14977 | 35478 | Point (5.844222073800121 51.16273804984473)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15148 | 28019 | Point (5.929182606843391 50.97004484632073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16251 | 8880 | Point (6.09540990342829 51.29285280385578)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16414 | 30952 | Point (5.852518052148716 50.91755048858393)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16533 | 33376 | Point (5.89104795839164 50.94826608896627)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16534 | 23841 | Point (6.049466403918986 50.917498675628984)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16572 | 22876 | Point (5.929572627776277 50.97415996310404)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16599 | 35522 | Point (5.842063656032122 51.15987906635806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16792 | 33746 | Point (5.826965563447688 51.002829246238264)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16897 | 526207 | Point (6.087299180827096 51.27531035469817)
