Gevonden: 356 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10167 | 35236 | Point (4.745570300673304 53.02502043233892)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10167 | 35236 | Point (4.745567747385848 53.02502108591038)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827785987766124 53.04213847845052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827783670428094 53.04213921018566)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.77468207200578 52.75023551257957)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.774683805115308 52.75023489207809)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911615496157619 52.548730511397935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911614517478468 52.54873121050242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658421239440943 52.7233019414519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658419304403318 52.72330244213983)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823503764191443 53.045820714246084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823501422880479 53.04582144326224)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11536 | 35257 | Point (4.79439227620705 53.04723470416815)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11536 | 35257 | Point (4.794389830468393 53.04723540818534)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644299829230548 52.59733834060871)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644298240220026 52.59733880447027)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794377615245266 52.78563526329118)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794375840676091 52.78563590845013)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12570 | 35266 | Point (4.81288955689613 53.065747325517115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12570 | 35266 | Point (4.81289198555381 53.06574660060052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.948949799756465 52.67879310843567)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.94894863241612 52.67879385558711)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877057981129132 52.61884082662835)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877056788489601 52.61884151049217)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14343 | 522183 | Point (4.8499116969552 52.50790703794242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14343 | 522183 | Point (4.849910703112871 52.507907683091666)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14595 | 8852 | Point (4.899786556764975 52.60123133967089)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14595 | 8852 | Point (4.899785446596179 52.60123203812721)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14658 | 510447 | Point (4.922240030266861 52.68487484064855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14658 | 510447 | Point (4.922238791792684 52.68487556994998)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14776 | 502520 | Point (4.981387645718402 52.61833504998785)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14776 | 502520 | Point (4.981386661438616 52.618335808553695)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15205 | 30679 | Point (4.994656136689199 52.7084749550955)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15205 | 30679 | Point (4.994655015820685 52.708475737916565)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15316 | 8839 | Point (4.907163969873729 52.550006778225864)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15316 | 8839 | Point (4.907162980759946 52.550007474220436)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15321 | 35232 | Point (4.753677203795027 53.044536948326346)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15321 | 35232 | Point (4.753674624433772 53.044537614401904)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15442 | 35284 | Point (4.795367613571333 53.035835973876985)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15442 | 35284 | Point (4.795365200822634 53.0358366759221)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15661 | 8683 | Point (4.892325280204552 52.79346109321243)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15661 | 8683 | Point (4.892326821457701 52.79346036556458)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16001 | 35173 | Point (4.849119145003163 53.03860660488063)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16001 | 35173 | Point (4.849121380236412 53.03860585624663)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16411 | 516066 | Point (4.700520450222431 52.57072324576962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16411 | 516066 | Point (4.700519042417583 52.57072376403426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16940 | 8793 | Point (4.948855798524958 52.557681404225214)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16940 | 8793 | Point (4.948854867631884 52.557682131325286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17058 | 8846 | Point (4.904790016907267 52.53249873667529)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17058 | 8846 | Point (4.904789060139548 52.532499428295104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17167 | 21078 | Point (4.812004030496468 52.651050680392686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17167 | 21078 | Point (4.81200263063217 52.6510513160628)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18241 | 8811 | Point (4.905072320314572 52.53633749894867)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18241 | 8811 | Point (4.905071356030894 52.536338191344775)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18317 | 35271 | Point (4.829102784453442 53.07196978318201)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18317 | 35271 | Point (4.829100397564394 53.07197052355102)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18384 | 35258 | Point (4.793887672686314 53.03831784240728)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18384 | 35258 | Point (4.793885248411972 53.03831854375271)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18463 | 30675 | Point (4.976453102692347 52.71199036123495)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18463 | 30675 | Point (4.976451933373963 52.71199113295158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18604 | 38928 | Point (4.980424469071489 52.928323885620195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18604 | 38928 | Point (4.980426039132685 52.92832306663811)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19951 | 38919 | Point (4.960326630516624 52.906397831674106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19951 | 38919 | Point (4.960325042583461 52.90639863233618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20471 | 8851 | Point (4.926137009137655 52.527595566107024)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20471 | 8851 | Point (4.926136098364427 52.52759627267831)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20891 | 8841 | Point (4.854405920869162 52.54317603678672)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20891 | 8841 | Point (4.85440485480446 52.54317669071586)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20917 | 510008 | Point (4.747104798525069 52.81829181675868)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20917 | 510008 | Point (4.747102815184791 52.8182924251075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21025 | 35293 | Point (4.823244912122377 53.04605387668478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21614 | 502493 | Point (4.977465932376308 52.63830902733933)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21614 | 502493 | Point (4.977464903173467 52.63830978668309)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21765 | 39948 | Point (4.76638277722699 52.5003548869195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22608 | 40334 | Point (4.99181262323485 52.57063007277511)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22608 | 40334 | Point (4.99181174563026 52.57063083041764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22715 | 8796 | Point (4.892411828460003 52.563930542224725)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22715 | 8796 | Point (4.892410783827487 52.56393122921406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | 8827 | Point (4.975900340891359 52.5543727014725)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22951 | 21079 | Point (4.819488812909882 52.656200355947476)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22951 | 21079 | Point (4.819487416318729 52.65620099894539)
