Gevonden: 517 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306083610206 52.27294135777735)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306224522282 52.27294051454717)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10433 | 14461 | Point (5.637367042148115 52.06582629824005)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10433 | 14461 | Point (5.637367132582608 52.06582715432231)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10451 | 14525 | Point (5.263261305211078 52.244078245745754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10451 | 14525 | Point (5.263261199374762 52.244079090689105)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10495 | 23898 | Point (5.33972290780902 52.0076430063006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10537 | 14533 | Point (5.258025064115881 52.23203881330919)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10537 | 14533 | Point (5.258025163829172 52.23203797092814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10796 | 14514 | Point (5.270608145678916 52.262142163977366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10796 | 14514 | Point (5.270608030996508 52.26214301261393)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11012 | 20253 | Point (5.653700141325693 52.35418541406134)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11205 | 30966 | Point (5.520578237995598 52.200980825331605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11666 | 23943 | Point (5.22807329469206 52.25744591592754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11666 | 23943 | Point (5.228073150615957 52.25744675085599)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | 14521 | Point (5.263885097842289 52.24613794784098)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | 14521 | Point (5.263885204887012 52.24613710253962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11875 | 14508 | Point (5.266880003941687 52.2540772476039)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11875 | 14508 | Point (5.266880115120578 52.25407640074665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11940 | 8187 | Point (5.776970997419914 52.25433073010902)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11940 | 8187 | Point (5.776970713759655 52.254329898971875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12191 | 22684 | Point (5.202040383662105 52.00522408009893)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | 9622 | Point (5.243211286902264 52.27294224178589)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | 9622 | Point (5.243211140929784 52.27294308308762)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12720 | 23904 | Point (5.322702646982641 52.01389067230174)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500979456039 52.15588273488926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500924040683 52.15588186244516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12892 | 32216 | Point (5.538640260171147 52.230195598873316)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12892 | 32216 | Point (5.538640355953922 52.230196476182925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13016 | 9584 | Point (5.247953561510643 52.2744578597792)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13016 | 9584 | Point (5.247953418158967 52.27445870272329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13470 | 24073 | Point (5.395723666535937 52.01019499036847)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13470 | 24073 | Point (5.395723740157933 52.01019584981574)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13520 | 32231 | Point (5.628420444958012 52.25364825307075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13520 | 32231 | Point (5.628420612799862 52.25364912257361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13578 | 15363 | Point (5.677816005709741 52.26455606369781)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13578 | 15363 | Point (5.677816218091848 52.264556924437144)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13633 | 22197 | Point (5.461733918298928 52.176334032968164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13987 | 9588 | Point (5.2485417298032 52.27378446946275)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13987 | 9588 | Point (5.248541587525836 52.27378531253023)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13989 | 30844 | Point (5.78960791278107 52.29137132114801)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13989 | 30844 | Point (5.789608241381195 52.291372150943715)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14016 | 23899 | Point (5.338528330715917 52.00791216391372)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14154 | 14519 | Point (5.265121527314458 52.24912317697158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14154 | 14519 | Point (5.265121635848208 52.249122331053144)
