Gevonden: 142 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.83711171121407 52.65916548941046)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.837114630857417 52.6591652808116)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12837 | 33415 | Point (6.907706232290458 52.65681815377059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12837 | 33415 | Point (6.907703173274132 52.65681848597308)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13448 | 508375 | Point (6.949463349654332 52.964757970060106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13448 | 508375 | Point (6.949468012021995 52.96475761614117)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.81360161186159 52.69584300710077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.813604643871609 52.69584284375352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848197074562383 52.66046789987606)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848200023779711 52.66046767253177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15922 | 478220 | Point (6.801561935407334 52.77444322615208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15922 | 478220 | Point (6.801565285866813 52.774443095820025)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15992 | 38623 | Point (6.884540593946364 52.83938295638483)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15992 | 38623 | Point (6.884544459147532 52.83938269548657)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17410 | 33399 | Point (6.883688315112349 52.663468981809835)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17410 | 33399 | Point (6.883691354190987 52.6634686932257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17587 | 33406 | Point (6.869711702032903 52.67029542124392)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17587 | 33406 | Point (6.86971474266065 52.67029515815902)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18101 | 46559 | Point (6.809899350773827 52.65645623814734)
