Gevonden: 450 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10169 | Kampstraat | 26 | 6336VZ | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10308 | Honthem | 8 | 6269NR | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10586 | Ingberdorpsstraat | 29 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11488 | Rijksweg | 46 | 6267AH | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11870 | Bergerstraat | 2 | 6226NA | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11870 | Bergerstraat | 4 | 6226NA | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12721 | Rijksweg | 119 | 6247AD | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13104 | Sint Gerlach | 11 | 6301JA | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13104 | Sint Gerlach | 11 A | 6301JA | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13620 | Ambyerstraat Zuid | 155 | 6225AE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13836 | Grote Straat | 73 | 6325EB | Berg en Terblijt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14085 | Gasthuis | 59 | 6268NN | Bemelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14085 | Gasthuis | 61 | 6268NN | Bemelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 44 A | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 42 | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 44 | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 40 A | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14792 | Dorpsstraat | 148 | 6251ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15839 | Kerkstraat | 76 | 6267EE | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15839 | Kerkstraat | 78 | 6267EE | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15839 | Vendelstraat | 1 | 6267EW | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15858 | Hekerweg | 29 | 6301RJ | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15858 | Hekerweg | 27 | 6301RJ | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15858 | Hekerweg | 27 A | 6301RJ | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15887 | Vroenhof | 60 | 6301KH | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 A | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 B | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 C | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16338 | Dorpsstraat | 64 | 6252NE | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16366 | Diepestraat | 10 | 6336VW | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16445 | Berghof | 3 | 6321PC | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16445 | Berghof | 2 | 6321PC | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16506 | Raar | 21 | 6231RP | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16658 | Kerkstraat | 98 | 6267EG | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16658 | Kerkstraat | 100 | 6267EG | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16658 | Kerkstraat | 102 | 6267EG | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16718 | Libeek | 24 | 6265NE | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16796 | Dorpstraat | 24 | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16799 | Gen Höf | 12 | 6269ND | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16938 | Termaar | 67 | 6269AG | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16938 | Termaar | 71 | 6269AG | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16959 | Scheulderdorpsstraat | 56 | 6307PC | Scheulder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16959 | Scheulderdorpsstraat | 54 A | 6307PC | Scheulder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17100 | Reijmerstokkerdorpsstraat | 96 | 6274NN | Reijmerstok
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17475 | Ingberdorpsstraat | 21 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17570 | Maastrichterweg | 2 | 6247NA | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17712 | Genzon | 42 | 6235AB | Ulestraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17973 | Rijksweg | 4 | 6247AH | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18163 | Rijksweg | 10 | 6227SV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18358 | Duivenstraat | 3 | 6261NV | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18358 | Duivenstraat | 1 A | 6261NV | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18875 | Kampstraat | 13 | 6336VX | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18876 | Dorpstraat | 26 | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 108 | 6226BD | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 110 | 6226BE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19588 | Muntweg | 10 | 6325PD | Berg en Terblijt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19792 | Zonnebergweg | 10 | 6212NE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20397 | Tussen de Bruggen | 6 | 6231CC | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20409 | Muntweg | 9 | 6325PD | Berg en Terblijt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20426 | Reijmerstokkerdorpsstraat | 75 | 6274NH | Reijmerstok
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20799 | Rondelenstraat | 8 | 6261NP | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21258 | Tussen de Bruggen | 2 | 6231CC | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21258 | Tussen de Bruggen | 4 | 6231CC | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21279 | Scheulderdorpsstraat | 99 | 6307PB | Scheulder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21324 | Hoenderstraat | 11 | 6269BS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21324 | Hoenderstraat | 13 | 6269BS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21461 | Eckelraderweg | 12 | 6251NK | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21461 | Eckelraderweg | 12 A | 6251NK | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21465 | Weert | 93 | 6241GS | Bunde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21683 | Ravensboschstraat | 24 | 6336XH | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21785 | Dorpsstraat | 82 | 6251ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21845 | Oud-Valkenburg | 2 | 6305AB | Schin op Geul
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21845 | Oud-Valkenburg | 4 | 6305AB | Schin op Geul
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22266 | Dorpstraat | 74 | 6301BD | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22789 | Dorpsstraat | 140 | 6251ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22899 | Rijksweg | 187 | 6247AG | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23358 | Rondelenstraat | 14 | 6261NP | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23626 | Hoenderstraat | 17 | 6269BS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23626 | Hoenderstraat | 17 A | 6269BS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23626 | Hoenderstraat | 17 B | 6269BS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23626 | Hoenderstraat | 17 C | 6269BS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23626 | Hoenderstraat | 17 D | 6269BS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24370 | Groenstraat | 16 | 6301PH | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24370 | Groenstraat | 16 A | 6301PH | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24370 | Groenstraat | 18 A | 6301PH | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24587 | Kapelstraat | 35 | 6301PD | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24728 | Sint Laurentiusstraat | 7 | 6268NJ | Bemelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25129 | Kleverstraat | 10 | 6333AB | Schimmert
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25129 | Kleverstraat | 10 a | 6333AB | Schimmert
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25620 | Herkenrade | 10 | 6265NH | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25821 | Groot-Haasdal | 18 | 6333AW | Schimmert
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25869 | Weert | 85 | 6231RE | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26278 | Lindenstraat | 60 | 6325PB | Berg en Terblijt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26319 | Sint Gerlach | 16 | 6301JC | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26319 | Sint Gerlach | 14 | 6301JC | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26644 | Moerslag | 24 | 6265NC | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26750 | Lemmensstraat | 71 | 6273NB | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26750 | Lemmensstraat | 73 | 6273NB | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26853 | Klein Linde | 2 | 6301AN | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26853 | Klein Linde | 2 A | 6301AN | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26853 | Klein Linde | 2 B | 6301AN | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26853 | Klein Linde | 2 D | 6301AN | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26998 | Hoeve Heihofweg | 1 | 6301RB | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26998 | Hoeve Heihofweg | 1 A | 6301RB | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27255 | Klein Welsden | 21 | 6269NS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27255 | Klein Welsden | 21 A | 6269NS | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27379 | Dorpstraat | 10 | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27379 | Dorpstraat | 12 | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27379 | Dorpstraat | 10 A | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27379 | Dorpstraat | 10 B | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27379 | Dorpstraat | 10 C | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27425 | Sint Gerlach | 17 A | 6301JA | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27425 | Sint Gerlach | 17 | 6301JA | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 6 | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 6 A | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 2 | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 2 A | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 4 E | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 4 D | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 4 C | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 4 B | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 4 A | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 4 | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Rijksweg | 8 | 6269AC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Dobbelsteynstraat | 2 | 6269AX | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27565 | Dobbelsteynstraat | 2 A | 6269AX | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27950 | Bruisterbosch | 3 A | 6265NK | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27950 | Bruisterbosch | 1 B | 6265NK | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27950 | Bruisterbosch | 1 C | 6265NK | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27950 | Bruisterbosch | 1 A | 6265NK | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27950 | Bruisterbosch | 1 | 6265NK | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27950 | Bruisterbosch | 3 | 6265NK | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27973 | Bergerstraat | 103 | 6226BB | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27973 | Bergerstraat | 105 | 6226BB | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28200 | Dalestraat | 24 | 6262NM | Banholt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28267 | Heerstraat | 8 | 6301PL | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28267 | Heerstraat | 10 | 6301PL | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28308 | Rijksweg | 164 | 6247AM | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28591 | Sint Gerlach | 20 | 6301JC | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29143 | Ingberdorpsstraat | 9 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29390 | Sprinkstraat | 12 | 6269AP | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29472 | Scheulderdorpsstraat | 64 | 6307PC | Scheulder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29905 | Ingberdorpsstraat | 38 | 6273NG | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29961 | Dorpsstraat | 154 | 6251ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30276 | Broekhem | 138 | 6301HL | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30276 | Broekhem | 140 | 6301HL | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30276 | Broekhem | 142 | 6301HL | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30276 | Broekhem | 144 | 6301HL | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30276 | Broekhem | 146 | 6301HL | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30799 | In Gen Bauwerkoel | 5 | 6269NC | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30974 | Dorpsstraat | 45 | 6267AA | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30987 | Dorpstraat | 45 | 6301BB | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31150 | Ingberdorpsstraat | 19 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31325 | Reijmerstokkerdorpsstraat | 130 | 6274NN | Reijmerstok
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31533 | Bredeweg | 7 | 6262NX | Banholt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31533 | Bredeweg | 5 | 6262NX | Banholt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31675 | Terhorst | 23 | 6262NA | Banholt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31675 | Terhorst | 23 A | 6262NA | Banholt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31675 | Terhorst | 23 B | 6262NA | Banholt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32361 | Groot-Haasdal | 30 | 6333AW | Schimmert
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32425 | Joseph Corneli Allée | 1 | 6301KK | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32630 | Duivenstraat | 10 | 6261NT | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32630 | Duivenstraat | 10 A | 6261NT | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32774 | Lindenstraat | 21 | 6325PA | Berg en Terblijt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32869 | Herkenrade | 44 | 6265NH | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33110 | Bruisterbosch | 5 | 6265NK | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33422 | Bodemsweg | 3 A 01 | 6225ND | Maastricht
