Gevonden: 184 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850794032175615 52.25350907113598)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850792920493186 52.253509345555045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.83711171121407 52.65916548941046)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.837114630857417 52.6591652808116)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10332 | 31753 | Point (6.897929940962622 52.40743649912293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11040 | 26275 | Point (6.964200803616012 52.32314471162337)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11977 | 12347 | Point (6.967691414240025 52.43885004409156)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12025 | 35756 | Point (6.896968834524704 52.43312988725351)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12529 | 12358 | Point (6.97222580762924 52.418438426837504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12837 | 33415 | Point (6.907703173274132 52.65681848597308)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12837 | 33415 | Point (6.907706232290458 52.65681815377059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13043 | 35771 | Point (6.831079430476002 52.43388856402326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.81360161186159 52.69584300710077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.813604643871609 52.69584284375352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14206 | 21524 | Point (6.819419177312117 52.25483757997314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848197074562383 52.66046789987606)
