Gevonden: 96 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | Bovenkerkseweg | 78 | 3381KC | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | Bovenkerkseweg | 76 | 3381KC | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | Bovenkerkseweg | 30 | 3381KB | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | Oudkerkseweg | 9 | 3381KP | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12097 | Peursumseweg | 99 | 3381KV | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12347 | Korn | 39 | 4271BN | Dussen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12347 | Korn | 41 | 4271BN | Dussen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12719 | Kerkstraat | 41 | 4944XB | Raamsdonk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18110 | Dussen Dijk | 29 | 4271XL | Dussen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18253 | Bovenkerkseweg | 20 | 3381KB | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18253 | Bovenkerkseweg | 18 | 3381KB | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18808 | Binnendamseweg | 62 | 3381GC | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19419 | Visserskade | 44 | 4273GL | Hank
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19885 | Peursumseweg | 95 | 3381KV | Giessenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19885 | Peursumseweg | 97 | 3381KV | Giessenburg
