Gevonden: 835 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10028 | 32266 | Point (6.379483883423635 52.39699888484007)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10226 | 32272 | Point (6.257610083716346 52.42271059031954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221610717505028 52.65212751407345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221612301263765 52.65212811128191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231254580515839 52.65257171335514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231256185851077 52.652572301698704)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182065559831498 52.63248306920494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182064104613241 52.6324824397286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11022 | 523344 | Point (6.114232808995712 52.271736783238616)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212699655861473 52.6481993165875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212701211373748 52.64819992131554)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11278 | 38091 | Point (6.113719905412788 52.2493146915594)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196007562319708 52.59949420291148)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196008969973798 52.59949481504303)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11329 | 20021 | Point (6.583263770193374 52.5458839066637)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11361 | 39662 | Point (6.247144016936804 52.68133498410361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185550700849491 52.63413971625363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185552167017036 52.63414034295085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11946 | 31464 | Point (6.529474689508625 52.513778322848225)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.18403546875419 52.632855696696986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.184036928878094 52.63285632451468)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12225 | 28134 | Point (6.54027517019061 52.27451261474615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577499792602274 52.34480204918821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577501023202623 52.344802201265075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242051855459219 52.67356106585662)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242053535602049 52.673561647482195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185723286948257 52.63469577700084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185724754738073 52.63469640363518)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.225038768760185 52.69474850764085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.2250404626001 52.69474910875138)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.19658577278163 52.60445136637832)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.196587193030462 52.60445197874701)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183056405470936 52.62609472114321)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183057848246737 52.62609534875059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12692 | 8452 | Point (6.335602734662185 52.65171360237734)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183258977748021 52.62333485590187)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183257540824264 52.623334228901406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190867989494363 52.63653048144607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190869472122632 52.63653110385433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196664150874616 52.600685068507445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196665562561818 52.600685680236055)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.185121223647642 52.63407968870633)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.18512268879215 52.63408031576949)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13800 | 21156 | Point (6.106725740545278 52.39898007139728)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.19082532340227 52.63742951231142)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.190826808004744 52.63743013490004)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13983 | 21366 | Point (6.230630180974687 52.45883031485427)
