Gevonden: 63 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10898 | Lagendijk | 88 | 2981EN | Ridderkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | IJsseldijk | 218 | 2924AZ | Krimpen aan den IJssel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | IJsseldijk | 220 | 2924AZ | Krimpen aan den IJssel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13476 | Voorstraat | 212 | 2941EZ | Lekkerkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14024 | Oosteinde | 15 | 2969AS | Oud-Alblas
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14232 | IJsseldijk | 222 | 2924AZ | Krimpen aan den IJssel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14733 | Lekdijk | 63 | 2957CC | Nieuw-Lekkerland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15216 | Benedenrijweg | 69 | 2983GA | Ridderkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15926 | Opperduit | 308 | 2941AP | Lekkerkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16036 | Opperduit | 452 | 2941AT | Lekkerkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16171 | Opperduit | 360 | 2941AR | Lekkerkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16320 | Lagendijk | 60 | 2981EM | Ridderkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16577 | Noordzijde | 20 | 2969AP | Oud-Alblas
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16591 | Oosteinde | 58 | 2969AV | Oud-Alblas
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16591 | Oosteinde | 59 | 2969AV | Oud-Alblas
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19191 | Achterambachtseweg | 6 | 3342LB | Hendrik-Ido-Ambacht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25450 | Opperduit | 482 | 2941AT | Lekkerkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26959 | Kerkstraat | 6 | 3341LE | Hendrik-Ido-Ambacht
