Gevonden: 284 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10028 | 32266 | Point (6.379483883423635 52.39699888484007)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10404614 | 532539 | Point (6.688778283748342 52.16009693456121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10444 | 7552 | Point (6.692745120569566 52.30653491519615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10989 | 516432 | Point (6.526977230635244 52.13813145207932)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11329 | 20021 | Point (6.583263770193374 52.5458839066637)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11946 | 31464 | Point (6.529474689508625 52.513778322848225)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12225 | 28134 | Point (6.54027517019061 52.27451261474615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577499792602274 52.34480204918821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577501023202623 52.344802201265075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12478 | 34144 | Point (6.706846720891645 52.25502549180572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13175 | 18860 | Point (6.690899067790958 52.144145096391874)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13176 | 7556 | Point (6.616781094453255 52.24278415155277)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13991 | 31463 | Point (6.528484054329114 52.514210299971936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14504 | 9891 | Point (6.50054953601275 52.13163349497167)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14825 | 9886 | Point (6.527547590799342 52.13872818092226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14918 | 46799 | Point (6.324440106545431 52.58144714374966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15685 | 21400 | Point (6.449468343180204 52.44055899046965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15685 | 21400 | Point (6.449469739142008 52.440559316580156)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15801 | 9925 | Point (6.731432938040124 52.30666755357254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15833 | 22216 | Point (6.358310788337039 52.30988101565609)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15833 | 22216 | Point (6.358311683083791 52.30988143332261)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15981 | 34148 | Point (6.718290001475875 52.26298701121021)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16473 | 35779 | Point (6.738449434992033 52.42493237893756)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16847 | 9879 | Point (6.492281288837492 52.1079811117347)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16911 | 31473 | Point (6.512613283157473 52.5313942999649)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17155 | 38111 | Point (6.311554640121593 52.12765826349142)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17558 | 7448 | Point (6.305521892701185 52.28731103932132)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17558 | 7448 | Point (6.305522676205678 52.287311510697876)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17595 | 34147 | Point (6.717789927942785 52.26292073511361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17915 | 18875 | Point (6.740498544004001 52.147873949114185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18107 | 28131 | Point (6.485580593179613 52.245659427537134)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18530 | 20029 | Point (6.581033920597887 52.547928682111255)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18732 | 21398 | Point (6.452315995729627 52.387161685855915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18732 | 21398 | Point (6.452317226050151 52.38716200287555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18844 | 7542 | Point (6.715158244221026 52.28860435373917)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18882 | 31494 | Point (6.47872652407125 52.48656411961914)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19371 | 513680 | Point (6.603314099631693 52.59397299945925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21172 | 21525 | Point (6.737779616550937 52.246765599288814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21629 | 38912 | Point (6.562789731057517 52.399463754232045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21629 | 38912 | Point (6.562791139716576 52.39946393139345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21656 | 46612 | Point (6.777201345015356 52.22800677550238)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21656 | 46612 | Point (6.777202292220923 52.22800662176022)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21668 | 28143 | Point (6.505708888280801 52.212194843512506)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21928 | 21396 | Point (6.44155414999177 52.436180575947205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21928 | 21396 | Point (6.441555521109753 52.436180911064895)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22153 | 38915 | Point (6.533028253496148 52.321368169992866)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22153 | 38915 | Point (6.53302715141276 52.321367960513996)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22359 | 47013 | Point (6.554271400342208 52.3092504506784)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22359 | 47013 | Point (6.554272481024797 52.30925063109873)
