Gevonden: 54 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12877 | Kleiweg | 27 | 1396HW | Baambrugge
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13471 | Herenweg | 209 | 3645DL | Vinkeveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14320 | Rijksstraatweg | 228 | 3634AN | Loenersloot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15171 | Heinkuitenstraat | 32 | 1391VP | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15171 | Heinkuitenstraat | 34 | 1391VP | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15249 | Dwarskade | 2 | 1391HS | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15553 | Oude Dijk | 3 | 1391KP | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17245 | Rondehoep Oost | 8 B | 1191KA | Ouderkerk aan de Amstel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17245 | Rondehoep Oost | 8 | 1191KA | Ouderkerk aan de Amstel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20001 | Botsholsedwarsweg | 13 | 3646AJ | Waverveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24061 | Holendrechterweg | 53 | 1191KX | Ouderkerk aan de Amstel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28054 | Rijksstraatweg | 155 | 1396JK | Baambrugge
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28941 | Dorpsstraat | 1 | 1191BG | Ouderkerk aan de Amstel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29884 | Oude Dijk | 4 | 1391KP | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29884 | Oude Dijk | 5 | 1391KP | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32023 | Rondehoep West | 41 | 1191KL | Ouderkerk aan de Amstel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32318 | Botsholsedwarsweg | 25 | 3646AJ | Waverveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32917 | Waver | 34 | 1191KH | Ouderkerk aan de Amstel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34420 | Rijksstraatweg | 23 | 1396JC | Baambrugge
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36864 | Rijksstraatweg | 202 | 3634AN | Loenersloot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36864 | Rijksstraatweg | 204 | 3634AN | Loenersloot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37821 | Waver | 29 | 1191KH | Ouderkerk aan de Amstel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38624 | Amsteldijk Zuid | 91 | 1186VG | Amstelveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43335 | Gein-Zuid | 12 | 1391GT | Abcoude
