Gevonden: 88 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | West-Vlisterdijk | 19 | 2855AH | Vlist
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11277 | Provincialeweg | 25 | 2851EA | Haastrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11277 | Provincialeweg | 25 A | 2851EJ | Haastrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | Zuidzijde | 27 | 2411RR | Bodegraven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | Hekendorpse Buurt | 75 | 3467PB | Hekendorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | Hekendorpse Buurt | 71 | 3467PB | Hekendorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | Hekendorpse Buurt | 73 | 3467PB | Hekendorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13046 | Weijland | 24 | 2415BB | Nieuwerbrug aan den Rijn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14197 | Hekendorpse Buurt | 9 | 3467PA | Hekendorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14340 | Hoenkoopse Buurtweg | 87 | 3421GC | Oudewater
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15430 | Buitenkerk | 61 | 2411PC | Bodegraven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15692 | 's-Gravenbroekseweg | 21 | 2811GB | Reeuwijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17208 | West-Vlisterdijk | 23 | 2855AH | Vlist
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17511 | Steinsedijk | 45 | 2851LC | Haastrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17559 | Oost-Vlisterdijk | 19 | 2855AC | Vlist
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17694 | Hekendorpse Buurt | 51 | 3467PB | Hekendorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17950 | Goejanverwelle | 33 | 3467PN | Hekendorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18427 | Noordzijde | 130 | 2411RG | Bodegraven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19716 | Hoenkoopse Buurtweg | 25 | 3421GA | Oudewater
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20807 | Weijland | 26 | 2415BB | Nieuwerbrug aan den Rijn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20812 | Dammekant | 2 | 2411CD | Bodegraven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21207 | Bloemendaalseweg | 39 | 2803AW | Gouda
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23031 | West-Vlisterdijk | 32 | 2855AJ | Vlist
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23651 | Laageind | 41 | 3465KH | Driebruggen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24923 | Weijland | 20 | 2415BB | Nieuwerbrug aan den Rijn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24959 | Steinsedijk | 47 | 2851LC | Haastrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25671 | West-Vlisterdijk | 18 | 2855AH | Vlist
