Gevonden: 164 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10760 | Jan Peukensweg | 13 | 6343PR | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10760 | Kruisstraat | 1 | 6343PS | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11122 | Johannes XXIII-singel | 46 | 6416GH | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | Esschenweg | 111 A | 6412PW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | Esschenweg | 111 B | 6412PW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | Esschenweg | 111 | 6412PW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11632 | Rinckberg | 22 | 6374LR | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13090 | Kantstraat | 2 | 6374EH | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13688 | Dorpsstraat | 136 | 6456AG | Bingelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13708 | Grensstraat | 128 | 6374CV | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13907 | Eindstraat | 21 | 6456AP | Bingelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16155 | Corisbergweg | 121 | 6418CT | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16420 | Corisbergweg | 119 | 6418CT | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16420 | Corisbergweg | 117 | 6418CT | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16534 | Grensstraat | 127 | 6374CR | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17538 | Torenstraat | 2 | 6471JX | Eygelshoven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17538 | Torenstraat | 4 | 6471JX | Eygelshoven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17667 | Charles Frehenstraat | 36 | 6374EM | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Palenbergerweg | 1 | 6374LS | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Palenbergerweg | 1 A | 6374LS | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 2 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 4 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 6 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 8 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 10 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 12 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 14 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 16 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 18 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 20 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17908 | Scherpenseelermolenweg | 22 | 6374LP | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18626 | Geerstraat | 6 | 6456AK | Bingelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19788 | De Lirp | 42 | 6419EW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19788 | De Doom | 44 | 6419CX | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19955 | Dorpstraat | 10 | 6444AL | Brunssum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22124 | Esschenderweg | 1 | 6343PN | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23188 | Nieuw-Erensteinerweg | 5 | 6468PD | Kerkrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23188 | Nieuw-Erensteinerweg | 7 | 6468PD | Kerkrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23188 | Nieuw-Erensteinerweg | 9 | 6468PD | Kerkrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23188 | Nieuw-Erensteinerweg | 13 | 6468PD | Kerkrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23188 | Nieuw-Erensteinerweg | 15 | 6468PD | Kerkrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23188 | Nieuw-Erensteinerweg | 19 | 6468PD | Kerkrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23593 | Groeneweg | 10 | 6441LL | Brunssum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23646 | Haagstraat | 26 | 6447CJ | Merkelbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23847 | De Doom | 22 | 6419CX | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24484 | Emmastraat | 20 | 6373HM | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24535 | Valkenburgerweg | 54 | 6419AV | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24891 | Dorpstraat | 12 | 6444AL | Brunssum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25256 | Etzenrade | 11 | 6454AT | Jabeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25848 | Aan de Kerk | 4 | 6436CT | Amstenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25970 | Meezenbroekerweg | 13 | 6415SC | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25970 | Meezenbroekerweg | 13 B | 6415SC | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26057 | Vaesrade | 62 | 6361HH | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26057 | Vaesrade | 64 | 6361HH | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26537 | Justus van Maurikstraat | 37 | 6416EH | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26626 | Brunssummerstraat | 65 | 6451CR | Schinveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26626 | Brunssummerstraat | 65 a | 6451CR | Schinveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26626 | Brunssummerstraat | 65 b | 6451CR | Schinveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27568 | Hagendorenweg | 2 | 6436CS | Amstenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28506 | Groenstraat | 70 | 6374JS | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29313 | Oudestraat | 5 B | 6436AC | Amstenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29313 | Oudestraat | 5 A | 6436AC | Amstenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29313 | Oudestraat | 5 | 6436AC | Amstenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29924 | Grensstraat | 98 | 6374CT | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29924 | Grensstraat | 98 A | 6374CT | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29924 | Grensstraat | 96 | 6374CT | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30564 | Brunssummerstraat | 46 | 6451CT | Schinveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30725 | Akkerweg | 5 A | 6441LG | Brunssum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30725 | Akkerweg | 9 | 6441LG | Brunssum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30725 | Akkerweg | 7 | 6441LG | Brunssum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30725 | Akkerweg | 5 | 6441LG | Brunssum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34169 | Corisbergweg | 119 A | 6418CT | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34488 | Groenstraat | 139 | 6374JN | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34804 | Rimburgerweg | 160 | 6374LG | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36690 | Hommerter Allee | 78 | 6436AN | Amstenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36792 | Grensstraat | 129 | 6374CR | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37793 | Haagstraat | 16 | 6447CJ | Merkelbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37793 | Haagstraat | 14 | 6447CJ | Merkelbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37793 | Haagstraat | 12 | 6447CJ | Merkelbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37870 | Terlindenweg | 100 | 6363CX | Wijnandsrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39619 | Jan Peukensweg | 7 | 6343PR | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40339 | Grensstraat | 100 | 6374CT | Landgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40360 | De Doom | 46 | 6419CX | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40360 | De Doom | 50 | 6419CX | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42827 | Tunnelweg | 99 | 6372XH | Landgraaf
