Gevonden: 376 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850792920493186 52.253509345555045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850794032175615 52.25350907113598)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10332 | 31753 | Point (6.897929940962622 52.40743649912293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10404614 | 532539 | Point (6.688778283748342 52.16009693456121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10444 | 7552 | Point (6.692745120569566 52.30653491519615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10557 | 14623 | Point (6.727931952405767 52.0860919215888)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10989 | 516432 | Point (6.526977230635244 52.13813145207932)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11040 | 26275 | Point (6.964200803616012 52.32314471162337)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11084 | 510595 | Point (6.84482481176854 52.19607097785595)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11084 | 510595 | Point (6.844825661731864 52.19607071048111)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11470 | 39079 | Point (6.716602605197434 51.90963652662178)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11515 | 39065 | Point (6.778463894457634 51.99278182097546)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11563 | 18854 | Point (6.85152992968999 52.136110706627804)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11590 | 25828 | Point (6.516661515039193 52.00925036956077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11977 | 12347 | Point (6.967691414240025 52.43885004409156)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12025 | 35756 | Point (6.896968834524704 52.43312988725351)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12225 | 28134 | Point (6.54027517019061 52.27451261474615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577499792602274 52.34480204918821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577501023202623 52.344802201265075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12478 | 34144 | Point (6.706846720891645 52.25502549180572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12529 | 12358 | Point (6.97222580762924 52.418438426837504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13043 | 35771 | Point (6.831079430476002 52.43388856402326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13175 | 18860 | Point (6.690899067790958 52.144145096391874)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13176 | 7556 | Point (6.616781094453255 52.24278415155277)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14206 | 21524 | Point (6.819419177312117 52.25483757997314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14411 | 14626 | Point (6.658236756693865 52.02173905827221)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14504 | 9891 | Point (6.50054953601275 52.13163349497167)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14610 | 12354 | Point (6.888255938846119 52.39391445807018)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14825 | 9886 | Point (6.527547590799342 52.13872818092226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15278 | 15296 | Point (6.923839426868139 52.211995285450584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15278 | 15296 | Point (6.923840397048743 52.21199488074843)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15613 | 15298 | Point (6.844488764516145 52.19605689372278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15613 | 15298 | Point (6.844487914805963 52.196057160526365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15801 | 9925 | Point (6.731432938040124 52.30666755357254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15981 | 34148 | Point (6.718290001475875 52.26298701121021)
