Gevonden: 109 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11500 | 9966 | Point (3.806154984445021 51.415653196487526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11500 | 9966 | Point (3.806158419295816 51.4156522923879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11829 | 22795 | Point (3.985934474905607 51.26137558565471)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11829 | 22795 | Point (3.985938266609207 51.261375062534285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12266 | 16402 | Point (3.819234253693612 51.493179705965645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12266 | 16402 | Point (3.819231255748704 51.49318059111359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12953 | 23487 | Point (3.951894505121708 51.46774653871754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12953 | 23487 | Point (3.951897387061361 51.46774592371681)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17467 | 10024 | Point (3.776807034059343 51.44719271989543)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17501 | 9963 | Point (3.884114258091658 51.408053730822246)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17501 | 9963 | Point (3.884117570787665 51.408052988670796)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19950 | 9941 | Point (3.787389900656655 51.427201359835244)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19950 | 9941 | Point (3.787393312188513 51.427200414461794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20633 | 16435 | Point (3.91652981032135 51.499382251385114)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20633 | 16435 | Point (3.916532601131923 51.499381564008296)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20647 | 9956 | Point (3.88863856127449 51.40739199139664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20647 | 9956 | Point (3.88863525464996 51.40739272436245)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21189 | 9976 | Point (3.881049799788728 51.47123185533362)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21189 | 9976 | Point (3.881052797682632 51.471231099849525)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21338 | 9971 | Point (3.882757181190622 51.44134419087301)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21338 | 9971 | Point (3.882760327862584 51.44134344209662)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22780 | 10020 | Point (3.768730488888497 51.44895988661074)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22780 | 10020 | Point (3.768727157879399 51.44896087462089)
