Gevonden: 93 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | Rijndijk | 107 A | 2394AE | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | Rijndijk | 107 B | 2394AE | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | Rijndijk | 107 | 2394AE | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | Lagewaard | 53 | 2396AW | Koudekerk aan den Rijn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | Weipoortseweg | 54 | 2381NE | Zoeterwoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | Dorpsstraat | 17 | 2396HA | Koudekerk aan den Rijn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13126 | Weipoortseweg | 76 | 2381NH | Zoeterwoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13217 | Hoofdstraat | 42 | 2351AL | Leiderdorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13789 | Achthovenerweg | 25 | 2351AX | Leiderdorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13789 | Achthovenerweg | 27 | 2351AX | Leiderdorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15446 | Heerewegh | 34 | 2731BM | Benthuizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15493 | Rijndijk | 207 | 2394CC | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15493 | Rijndijk | 203 | 2394CC | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16926 | Weipoortseweg | 32 | 2381NC | Zoeterwoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17464 | Laan van Oud Raadwijk | 4 | 2381EW | Zoeterwoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17464 | Laan van Oud Raadwijk | 4 a | 2381EW | Zoeterwoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20510 | Watertje | 40 | 2381EJ | Zoeterwoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21329 | Rijndijk | 253 | 2394CE | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22115 | Hondsdijk | 59 | 2396HK | Koudekerk aan den Rijn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23097 | Rijndijk | 123 A | 2394AG | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23097 | Rijndijk | 123 B | 2394AG | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23097 | Rijndijk | 123 | 2394AG | Hazerswoude-Rijndijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25708 | Dorpsstraat | 1 | 2396HA | Koudekerk aan den Rijn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25876 | Hoofdstraat | 31 | 2351AA | Leiderdorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26017 | Weipoortseweg | 67 | 2381NG | Zoeterwoude
