Gevonden: 929 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259894831014 52.12742991397416)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259655966269 52.1274302530341)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370358802935 52.08886688832469)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370299419334 52.08886752901592)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482174117768 51.98836386539577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482326686305 51.98836442900257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10771 | 34940 | Point (4.75080502211812 51.90491120273821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10812 | 17035 | Point (4.887463037837951 51.90323485528365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.60767517047653 52.13983416414288)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.607674903990473 52.13983453742655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432527108714292 52.12181892242426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432526844892408 52.121819079143776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10901 | 38388 | Point (4.390959691405469 52.11825723103372)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830734145009012 52.16486192799072)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830733903386595 52.16486252147577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11277 | 19957 | Point (4.758357587299598 52.00073271345966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11483 | 8999 | Point (4.749025849183287 51.93606464880962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.88900010861137 52.03853313094497)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.889000149517519 52.03853376455032)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434882880936 52.08204294314316)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434812512175 52.08204346509814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900383235528 52.020191585763335)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900304312084 52.020190987828975)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810988845338642 51.945012995579816)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810989094741902 51.945013563000956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11877 | 34088 | Point (4.894463399669262 52.04403957587332)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11877 | 34088 | Point (4.894463369550017 52.04403893788543)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11939 | 34093 | Point (4.885703185932672 52.03620017119759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11939 | 34093 | Point (4.885703231440592 52.03620080218109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226239494598 52.118641307323905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226466366262 52.11864103189915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12311 | 39001 | Point (4.899231552075083 52.023817261605394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12311 | 39001 | Point (4.899231622427954 52.02381790243692)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008998374959 52.13105577190073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008751559143 52.13105612239168)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12687 | 9628 | Point (4.529015974443088 52.007202295302314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12687 | 9628 | Point (4.529016106245794 52.007202570683745)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12739 | 17047 | Point (4.888382526630499 51.90287023692146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13046 | 9767 | Point (4.799942746286236 52.084511763612824)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13046 | 9767 | Point (4.799942814646909 52.08451120120927)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13071 | 8998 | Point (4.764502299479456 51.936812789012336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13071 | 8998 | Point (4.764502017501203 51.93681226322686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13126 | 41056 | Point (4.522191157071934 52.112515657840454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13126 | 41056 | Point (4.522190949248648 52.112515929215384)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13217 | 25697 | Point (4.523534564339117 52.14951280370997)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13217 | 25697 | Point (4.523534236662014 52.149513078846056)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13241 | 510065 | Point (4.670302161256246 52.28249577792424)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13241 | 510065 | Point (4.670301519859137 52.28249622975438)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | 23816 | Point (4.598654136440637 51.9242036817368)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | 23816 | Point (4.59865450701457 51.92420403719552)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434560809904 52.12175984568419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434823025952 52.12175968240293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306442442822 52.0604668279408)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306399371472 52.06046704050618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552631857113 52.15738271483664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552229598673 52.15738283285712)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13766 | 6838 | Point (4.739707275100398 52.264398997340045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13766 | 6838 | Point (4.739706738358873 52.26439951685759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13789 | 25688 | Point (4.550168977973944 52.13948533863865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.387204465700454 51.94735921661131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.38720482906271 51.94735930532278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.41858784870208 52.099305765737924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.418587661758173 52.09930590248643)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14031 | 19274 | Point (4.650953778595969 52.3906192105935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14031 | 19274 | Point (4.650954748304256 52.390618767987334)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14130 | 34929 | Point (4.78880971800539 51.916562200499705)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14197 | 517469 | Point (4.817709764413521 52.01715996098848)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14197 | 517469 | Point (4.817709677929989 52.017159385954464)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14232 | 23817 | Point (4.5979830851456 51.92350705513875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14232 | 23817 | Point (4.597983458006353 51.92350740983109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14340 | 32114 | Point (4.821960418300998 52.00007508506977)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14340 | 32114 | Point (4.821960542642618 52.00007566318739)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14585 | 33386 | Point (4.333900992651824 51.948305079921504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14656 | 25993 | Point (4.899955426620793 52.07247415977706)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14742 | 32172 | Point (4.884352612184363 51.98902391110912)
