Gevonden: 10 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | Boarnsterdyk | 78 | 8491KR | Akkrum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | Boarnsterdyk | 80 | 8491KR | Akkrum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22614 | Easterboarn | 9 | 8495NB | Aldeboarn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26812 | Kapellewei | 1 | 8468MK | Haskerdijken
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28588 | Soarremoarre | 1 | 8494NA | Nes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36605 | Boarnsterdyk | 76 | 8491KR | Akkrum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37426 | Aengwirderweg | 245 | 8459BN | Luinjeberd
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48452 | Súdkant | 6 | 8495KP | Aldeboarn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/58489 | Heechein | 25 | 8491EL | Akkrum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/77156 | Rijksstraatweg | 50 | 8468ME | Haskerdijken
