Gevonden: 88 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10771 | Nieuwe Veer | 81 | 2959AM | Streefkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11483 | Benedenberg | 83 | 2861LD | Bergambacht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12363 | Abbekesdoel | 43 | 2971VB | Bleskensgraaf ca
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12617 | Graafdijk-oost | 12 | 2973XA | Molenaarsgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13071 | Benedenberg | 64 | 2861LH | Bergambacht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13071 | Benedenberg | 66 | 2861LH | Bergambacht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13476 | Voorstraat | 212 | 2941EZ | Lekkerkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14024 | Oosteinde | 15 | 2969AS | Oud-Alblas
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14130 | Bergstoep | 14 A | 2959AA | Streefkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14130 | Bergstoep | 14 | 2959AA | Streefkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14546 | Graafdijk-west | 28 | 2973XE | Molenaarsgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14546 | Graafdijk-west | 28 A | 2973XE | Molenaarsgraaf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14733 | Lekdijk | 63 | 2957CC | Nieuw-Lekkerland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15397 | Bergstoep | 12 | 2959AA | Streefkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15926 | Opperduit | 308 | 2941AP | Lekkerkerk
