Gevonden: 868 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101761449171687 53.14579436084177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101759140150004 53.145793557236544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464131627605264 53.06502805618869)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464128189723673 53.06502763769263)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447435113518844 53.22752560679959)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447439012198719 53.22752608697956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10530 | 7070 | Point (6.511032445109284 53.274520370405966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658106286021018 52.843098905313155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658109541493879 52.84309901260886)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244599897263686 52.767640266478914)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244597978237215 52.767639670791276)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613459747895321 52.8515474550586)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613456584537456 52.85154728135993)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11257 | 46582 | Point (6.367474801137814 52.83375447868464)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11257 | 46582 | Point (6.36747722209548 52.83375496031603)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213661846303574 53.238125228792825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213658887899398 53.23812449549808)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459395291404772 53.06595128110267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459391867364639 53.065950856539764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.461302653775789 53.0659966303572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.4613060847611 53.06599705257576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12037 | 32974 | Point (6.39710561733923 52.7133644036478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12037 | 32974 | Point (6.39710775773562 52.7133648298329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12044 | 32147 | Point (6.481766499946629 53.14847933738611)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12315 | 478212 | Point (6.471984416466266 53.16851817606153)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494720244150522 53.15716663197103)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494724100836384 53.157167034701594)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12488 | 46727 | Point (6.31924373275027 52.85662693943281)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12488 | 46727 | Point (6.31924608378005 52.85662747764237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12603 | 10500 | Point (6.090691261587661 52.717530352645596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432447784206681 53.13596971487274)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432451332660686 53.13597018935943)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12700 | 485394 | Point (6.577532651218502 53.25450483880544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12700 | 485394 | Point (6.577537185625773 53.254505156705136)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12752 | 510907 | Point (6.689389205805645 53.100749609825016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12752 | 510907 | Point (6.689393588108852 53.10074972566634)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458549571683269 53.04450713555267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458552923353571 53.04450755607575)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13058 | 20280 | Point (6.621222741906223 53.13840700707059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13058 | 20280 | Point (6.621227017325097 53.13840723316101)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157247907359409 53.21172252798477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157245241614468 53.21172175196671)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401152143232165 52.71546945289433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401149987049306 52.715469030988906)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13423 | 10526 | Point (6.08427062444078 52.75029021474899)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13431 | 8734 | Point (6.576709662219471 53.29190512590006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13793 | 23764 | Point (6.085926970792889 53.292626435901454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13797 | 20295 | Point (6.655095338416839 53.12592124579329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13797 | 20295 | Point (6.655099693692097 53.12592141931503)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114190310046139 53.27982486718948)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114187682074174 53.27982403692482)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232678340613477 53.13371837179404)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232675557991432 53.13371768391237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158251473191371 53.292461700146866)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158254318961575 53.292462497731286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14015 | 478019 | Point (6.575451825578481 53.07913491230381)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14015 | 478019 | Point (6.57545571035439 53.07913518848967)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14080 | 47046 | Point (6.680902405670967 53.09505402526744)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14080 | 47046 | Point (6.680906733906691 53.09505415264723)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442469499638507 53.052890850296066)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442472821965742 53.05289129240788)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14139 | 10501 | Point (6.089819806432167 52.725956456122596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14248 | 21044 | Point (6.258672649341352 52.8301238408115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14248 | 21044 | Point (6.258674761921293 52.83012443490146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14508 | 10509 | Point (6.033911680405454 52.7270912520894)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14581 | 20297 | Point (6.664055103683512 53.1212068672278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14581 | 20297 | Point (6.664059473984374 53.12120702626317)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14674 | 482938 | Point (6.671162392805175 52.93370541523071)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299403412084242 53.14830786801617)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299400336889995 53.14830724220268)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150523322532567 53.27948179870821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150526106667336 53.27948259915352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15119 | 469366 | Point (6.564670568001946 52.99292255521805)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156573510934796 52.831949813205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156575347862103 52.831950500169306)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15193 | 10513 | Point (6.089810836494501 52.7494218470666)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15206 | 38751 | Point (6.662403683066891 52.84488648466414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15206 | 38751 | Point (6.662406957484539 52.84488658593303)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15233 | 10511 | Point (6.090582239041285 52.73750040378635)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15276 | 22257 | Point (6.477229411124757 52.720566473789475)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15276 | 22257 | Point (6.4772317619864 52.72056680542373)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15444 | 21040 | Point (6.27542557488621 52.7906905677716)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15444 | 21040 | Point (6.275427631295868 52.79069113781111)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15451 | 7057 | Point (6.094293994875803 53.23583271854965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15451 | 7057 | Point (6.094291538677313 53.23583188503071)
