Gevonden: 739 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464131627605264 53.06502805618869)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464128189723673 53.06502763769263)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10288 | 30562 | Point (6.961730615552346 53.23080344241598)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447435113518844 53.22752560679959)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447439012198719 53.22752608697956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713786240702256 52.75986835542208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713783172335992 52.759868347509645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10530 | 7070 | Point (6.511032445109284 53.274520370405966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10605 | 510857 | Point (6.832250311934654 53.01475625045549)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658109541493879 52.84309901260886)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658106286021018 52.843098905313155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10792 | 510978 | Point (6.794867652374543 53.081276365828664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613456584537456 52.85154728135993)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613459747895321 52.8515474550586)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459391867364639 53.065950856539764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459395291404772 53.06595128110267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11431 | 520997 | Point (6.984898657044085 53.08988262603083)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11431 | 520997 | Point (6.984904067641797 53.089882232855565)
