Gevonden: 253 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10550 | 7656 | Point (5.690131491660241 53.4458368128072)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10550 | 7656 | Point (5.690132372392091 53.44583791533836)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.530649920072695 53.234711299821356)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.53065003094286 53.23471236347915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.08841348394238 53.372824561430285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.088416179988857 53.372825438824925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157247907359409 53.21172252798477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157245241614468 53.21172175196671)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13320 | 8649 | Point (5.486174268056899 53.22983220990833)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13320 | 8649 | Point (5.486174195200142 53.229833273115304)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13696 | 11699 | Point (5.942968544300543 53.31171230337326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13793 | 23764 | Point (6.085926970792889 53.292626435901454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114187682074174 53.27982403692482)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114190310046139 53.27982486718948)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158251473191371 53.292461700146866)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158254318961575 53.292462497731286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14158 | 15625 | Point (5.740257058016788 53.30406869270144)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14158 | 15625 | Point (5.74025602801342 53.30406764752754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14325 | 9518 | Point (5.574776753326927 53.27763677508524)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14325 | 9518 | Point (5.574777052120401 53.27763784759103)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150523322532567 53.27948179870821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150526106667336 53.27948259915352)
