Gevonden: 127 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10167 | 35236 | Point (4.745570300673304 53.02502043233892)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10167 | 35236 | Point (4.745567747385848 53.02502108591038)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827785987766124 53.04213847845052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827783670428094 53.04213921018566)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823501422880479 53.04582144326224)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823503764191443 53.045820714246084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11536 | 35257 | Point (4.79439227620705 53.04723470416815)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11536 | 35257 | Point (4.794389830468393 53.04723540818534)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12570 | 35266 | Point (4.81289198555381 53.06574660060052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12570 | 35266 | Point (4.81288955689613 53.065747325517115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15321 | 35232 | Point (4.753677203795027 53.044536948326346)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15321 | 35232 | Point (4.753674624433772 53.044537614401904)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15442 | 35284 | Point (4.795367613571333 53.035835973876985)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15442 | 35284 | Point (4.795365200822634 53.0358366759221)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16001 | 35173 | Point (4.849121380236412 53.03860585624663)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16001 | 35173 | Point (4.849119145003163 53.03860660488063)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18317 | 35271 | Point (4.829102784453442 53.07196978318201)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18317 | 35271 | Point (4.829100397564394 53.07197052355102)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18384 | 35258 | Point (4.793887672686314 53.03831784240728)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18384 | 35258 | Point (4.793885248411972 53.03831854375271)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18604 | 38928 | Point (4.980426039132685 52.92832306663811)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18604 | 38928 | Point (4.980424469071489 52.928323885620195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19951 | 38919 | Point (4.960326630516624 52.906397831674106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19951 | 38919 | Point (4.960325042583461 52.90639863233618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20917 | 510008 | Point (4.747104798525069 52.81829181675868)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20917 | 510008 | Point (4.747102815184791 52.8182924251075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21025 | 35293 | Point (4.823244912122377 53.04605387668478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22989 | 35189 | Point (4.892160734204324 53.09756161055406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22989 | 35189 | Point (4.892162954983051 53.097560812825705)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23720 | 35235 | Point (4.761400581360671 53.02696443861102)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23720 | 35235 | Point (4.761398076382462 53.02696510756331)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24754 | 35259 | Point (4.814024416585752 53.04210032985154)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24754 | 35259 | Point (4.814022051887654 53.04210104980232)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25510 | 35285 | Point (4.807375073786171 53.03758416521388)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25510 | 35285 | Point (4.807372697701801 53.037584878265264)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26380 | 35283 | Point (4.759636793510263 53.058120302001306)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26380 | 35283 | Point (4.759639389305621 53.05811962693094)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27276 | 38917 | Point (4.968033079853836 52.907206951014004)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27276 | 38917 | Point (4.968031513313805 52.90720775704372)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28796 | 35274 | Point (4.797454752093617 53.04352952690058)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28796 | 35274 | Point (4.797452326568299 53.04353023271008)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29811 | 35182 | Point (4.885717369583184 53.09335549668459)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29811 | 35182 | Point (4.885715134951751 53.0933562883647)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29836 | 35260 | Point (4.810568422534796 53.03848923190386)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29836 | 35260 | Point (4.810566055107651 53.03848994796092)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30013 | 35183 | Point (4.850879570114666 53.08340976728923)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30013 | 35183 | Point (4.850877233020692 53.083410528692504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31050 | 35192 | Point (4.861788799826314 53.080977953933065)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31050 | 35192 | Point (4.861786507731091 53.08097872355539)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31226 | 516097 | Point (5.092852384582971 52.86841746427721)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31226 | 516097 | Point (5.092853519237464 52.86841659328769)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31344 | 35268 | Point (4.758300295073738 53.090867267468205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31344 | 35268 | Point (4.758297604952392 53.09086794963818)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31821 | 35286 | Point (4.811312527901223 53.03391055022619)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31821 | 35286 | Point (4.811314881131122 53.03390983465723)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31894 | 35269 | Point (4.77787426957047 53.040358849649444)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31894 | 35269 | Point (4.777876754237231 53.040358162210104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32569 | 38927 | Point (4.973358931892736 52.92553995895676)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32569 | 38927 | Point (4.97335734563057 52.92554077266289)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33480 | 35254 | Point (4.858539082761012 53.08436039959299)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33480 | 35254 | Point (4.858536770934335 53.084361167465794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35725 | 8702 | Point (4.838753759779073 52.83206693200116)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35725 | 8702 | Point (4.838751988019451 52.832067624799805)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35822 | 35267 | Point (4.781224442087534 53.092198553282415)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35822 | 35267 | Point (4.781221831333937 53.09219925690875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35962 | 35154 | Point (4.829593234358007 53.0418952967255)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35962 | 35154 | Point (4.829590923855576 53.04189602992846)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37631 | 35147 | Point (4.822363348779198 53.07276491167013)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37631 | 35147 | Point (4.822360935944994 53.072765646516025)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38492 | 516095 | Point (4.956114018569728 52.83475051740754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38492 | 516095 | Point (4.956112560762571 52.83475129968615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40748 | 35276 | Point (4.807193950379922 53.03886832203135)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40748 | 35276 | Point (4.807191570392555 53.03886903524373)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/41088 | 35261 | Point (4.822859964532147 53.04354490451727)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/41088 | 35261 | Point (4.822862302367237 53.04354417661669)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42724 | 38934 | Point (4.913879744610728 52.89508923857441)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42724 | 38934 | Point (4.913881446700772 52.89508847328481)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42796 | 38935 | Point (4.918519833751427 52.89627502071533)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42796 | 38935 | Point (4.918518142773038 52.89627578967215)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42959 | 35275 | Point (4.790357461801791 53.046774328832754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42959 | 35275 | Point (4.790355003287994 53.04677502913584)
