Gevonden: 200 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293073103087791 51.69480917647467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293074480152727 51.69480913219699)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.24753704013358 51.84690332757336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.247537855162298 51.846903208960526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293913065484755 51.99549126470056)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293912864591789 51.995491310774106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13236 | 38787 | Point (3.728391121329902 51.686049152698686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13460 | 26599 | Point (4.268030692256633 51.949053899165555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13460 | 26599 | Point (4.268031084456297 51.94905381263201)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15115 | 17064 | Point (4.279587938330473 51.795361043533504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15115 | 17064 | Point (4.279588936481336 51.795360975407505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15394 | 26584 | Point (4.272059372768778 51.937954857576024)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15394 | 26584 | Point (4.272059808336053 51.93795477712459)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15822 | 11204 | Point (3.928952934190642 51.69400573341094)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15822 | 11204 | Point (3.928954730466274 51.69400505607677)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17223 | 10672 | Point (4.167414580052491 51.90127351435737)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17223 | 10672 | Point (4.167413949517397 51.90127376306697)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18377 | 9382 | Point (4.243081750890712 51.86459548147931)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18377 | 9382 | Point (4.243082496591451 51.86459535571217)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18822 | 17048 | Point (4.26658314879221 51.775560300789074)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18822 | 17048 | Point (4.266584236085464 51.775560213152296)
