Gevonden: 118 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10359 | 31399 | Point (6.329429669645822 53.30955490111999)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.088416179988857 53.372825438824925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.08841348394238 53.372824561430285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12099 | 23669 | Point (6.393176535103047 53.38594730661345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13696 | 11699 | Point (5.942968544300543 53.31171230337326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14113 | 24024 | Point (6.41026538047149 53.36192818032179)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921067379420438 53.355758035240456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921069274606936 53.35575901734851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17412 | 15536 | Point (6.442866171313814 53.309411570188246)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18183 | 14566 | Point (6.445573468061927 53.40558078871781)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18183 | 14566 | Point (6.445569006929294 53.40558025591573)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19424 | 14563 | Point (6.460115118318781 53.39838928373155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19434 | 31555 | Point (6.145525908500216 53.369423902122605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19434 | 31555 | Point (6.145522954159518 53.369423071417486)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19677 | 46778 | Point (6.421520902346758 53.35978256564717)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19677 | 46778 | Point (6.421525106105726 53.35978311398277)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19793 | 510818 | Point (6.449522025803854 53.31161737013012)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19901 | 15540 | Point (6.442512504009209 53.31028631389558)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21652 | 38701 | Point (6.003450134331649 53.3738119087506)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21652 | 38701 | Point (6.003447831775793 53.373810970822966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21959 | 38736 | Point (5.917890414334112 53.35754219882788)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21959 | 38736 | Point (5.917892297294618 53.357543183206104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22720 | 11687 | Point (5.902196255270577 53.312423130370874)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22720 | 11687 | Point (5.902198009064602 53.31242410982878)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24904 | 35868 | Point (6.322629596773425 53.341354015610854)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24904 | 35868 | Point (6.322633294678719 53.34135466994364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26240 | 31567 | Point (6.101488610418194 53.330498077209)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26240 | 31567 | Point (6.101491283682753 53.3304989320304)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26929 | 24001 | Point (6.394055532337646 53.35946749271729)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26929 | 24001 | Point (6.394059608819807 53.35946807314445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27675 | 14556 | Point (6.460187786912972 53.40009591728558)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28762 | 509510 | Point (6.453044072656109 53.36137639220217)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28762 | 509510 | Point (6.453048426534265 53.361376902871555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28953 | 510815 | Point (6.490428968550845 53.33293191239263)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28988 | 24019 | Point (6.42954415099481 53.33488606711984)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30176 | 519591 | Point (5.90239365341104 53.31261996336288)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30176 | 519591 | Point (5.902395408329718 53.31262094277466)
