Gevonden: 200 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10550 | 7656 | Point (5.690132372392091 53.44583791533836)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10550 | 7656 | Point (5.690131491660241 53.4458368128072)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10639 | 35110 | Point (5.321563196648051 53.39453811181599)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.53065003094286 53.23471236347915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.530649920072695 53.234711299821356)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10961 | 35107 | Point (5.321759389332526 53.39402607343202)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304783262669577 53.38943222229419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304782302760119 53.38943331037243)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13320 | 8649 | Point (5.486174268056899 53.22983220990833)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13320 | 8649 | Point (5.486174195200142 53.229833273115304)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13738 | 35099 | Point (5.318336556442 53.39183073420657)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13738 | 35099 | Point (5.318335658233504 53.391831826138244)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14158 | 15625 | Point (5.74025602801342 53.30406764752754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14158 | 15625 | Point (5.740257058016788 53.30406869270144)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14325 | 9518 | Point (5.574776753326927 53.27763677508524)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14325 | 9518 | Point (5.574777052120401 53.27763784759103)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15414 | 35104 | Point (5.310030262847725 53.388071060944746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15414 | 35104 | Point (5.310031196932444 53.38806997205353)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16901 | 35103 | Point (5.309385298120096 53.387862901631436)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16901 | 35103 | Point (5.309384361181357 53.3878639903089)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17577 | 15582 | Point (5.808873991180307 53.33226704570186)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17577 | 15582 | Point (5.808875349675277 53.332268074369324)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18249 | 7676 | Point (5.772371539361201 53.44650142001975)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18249 | 7676 | Point (5.772370254328408 53.446500342554074)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18641 | 9514 | Point (5.633479760224664 53.29296756889359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18641 | 9514 | Point (5.633480316668931 53.292968637432494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19409 | 8642 | Point (5.459165420094795 53.21501636927855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19409 | 8642 | Point (5.459165239962391 53.21501742765612)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19521 | 28619 | Point (5.730438530201546 53.20893970825363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19521 | 28619 | Point (5.730439454202497 53.208940729442546)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20762 | 9507 | Point (5.653734596968273 53.294407972983386)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20762 | 9507 | Point (5.65373395161027 53.29440690795154)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20764 | 15598 | Point (5.825743998006383 53.33934203615448)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20764 | 15598 | Point (5.82574255650961 53.33934101241112)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21756 | 9519 | Point (5.590863731185752 53.284295677532896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21756 | 9519 | Point (5.590864100342306 53.28429675009953)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23117 | 7627 | Point (5.771140024974184 53.446792870357285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23279 | 8665 | Point (5.531568695561585 53.24970696121392)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23279 | 8665 | Point (5.531568809588714 53.2497080290791)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23542 | 35087 | Point (5.343763315940712 53.39733239370828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23542 | 35087 | Point (5.343762533387545 53.39733349254764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23891 | 9503 | Point (5.680837031019207 53.297004428791816)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23891 | 9503 | Point (5.68083626602976 53.29700336907716)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24260 | 9516 | Point (5.605771524846836 53.288097227290955)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24260 | 9516 | Point (5.605771959382372 53.28809829893481)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25589 | 515449 | Point (5.776616449291911 53.232574634123544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25589 | 515449 | Point (5.776617580594957 53.23257564648445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25648 | 9531 | Point (5.712378810022956 53.28134145218592)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25648 | 9531 | Point (5.712379703820429 53.28134249910998)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25732 | 15853 | Point (5.542286540954587 53.2180556178124)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25732 | 15853 | Point (5.542286700225371 53.21805667613345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27173 | 35030 | Point (5.323910750712681 53.393379207230176)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27173 | 35030 | Point (5.323909877495539 53.393380300852435)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27261 | 15624 | Point (5.745582325232356 53.31322591148201)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27261 | 15624 | Point (5.745583385179176 53.31322695762821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27681 | 7655 | Point (5.688190897694541 53.44381109482394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27681 | 7655 | Point (5.688191767908684 53.44381219721036)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27753 | 9527 | Point (5.687516504672263 53.278397147857476)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27753 | 9527 | Point (5.687515719823632 53.278396095177946)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27797 | 35086 | Point (5.343881533147928 53.398591433401926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28028 | 9509 | Point (5.609744257889691 53.27339883371308)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28028 | 9509 | Point (5.609744706327069 53.27339990051446)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30274 | 8631 | Point (5.56038369487893 53.24738651419364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30274 | 8631 | Point (5.56038393000463 53.24738757941431)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30604 | 35111 | Point (5.322903255806338 53.393639239593206)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30604 | 35111 | Point (5.322902377629687 53.3936403330797)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30605 | 35083 | Point (5.340591962841379 53.3968010975551)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30605 | 35083 | Point (5.340591165691809 53.396802195625746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31053 | 24532 | Point (5.780968675041277 53.23359377381028)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31053 | 24532 | Point (5.780969825263076 53.23359478486419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31346 | 35098 | Point (5.314250510108052 53.39043565636665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31346 | 35098 | Point (5.314249593838476 53.39043674695373)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31647 | 15622 | Point (5.759678499318993 53.3071808302997)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31647 | 15622 | Point (5.759679617213286 53.307181869977725)
