Gevonden: 150 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10167 | 35236 | Point (4.745567747385848 53.02502108591038)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10167 | 35236 | Point (4.745570300673304 53.02502043233892)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827785987766124 53.04213847845052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827783670428094 53.04213921018566)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10639 | 35110 | Point (5.321563196648051 53.39453811181599)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10961 | 35107 | Point (5.321759389332526 53.39402607343202)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823503764191443 53.045820714246084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823501422880479 53.04582144326224)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304783262669577 53.38943222229419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304782302760119 53.38943331037243)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11536 | 35257 | Point (4.79439227620705 53.04723470416815)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11536 | 35257 | Point (4.794389830468393 53.04723540818534)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12570 | 35266 | Point (4.81288955689613 53.065747325517115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12570 | 35266 | Point (4.81289198555381 53.06574660060052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13738 | 35099 | Point (5.318336556442 53.39183073420657)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13738 | 35099 | Point (5.318335658233504 53.391831826138244)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15321 | 35232 | Point (4.753677203795027 53.044536948326346)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15321 | 35232 | Point (4.753674624433772 53.044537614401904)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15414 | 35104 | Point (5.310031196932444 53.38806997205353)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15414 | 35104 | Point (5.310030262847725 53.388071060944746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15442 | 35284 | Point (4.795367613571333 53.035835973876985)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15442 | 35284 | Point (4.795365200822634 53.0358366759221)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16001 | 35173 | Point (4.849121380236412 53.03860585624663)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16001 | 35173 | Point (4.849119145003163 53.03860660488063)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16901 | 35103 | Point (5.309385298120096 53.387862901631436)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16901 | 35103 | Point (5.309384361181357 53.3878639903089)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18317 | 35271 | Point (4.829102784453442 53.07196978318201)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18317 | 35271 | Point (4.829100397564394 53.07197052355102)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18384 | 35258 | Point (4.793887672686314 53.03831784240728)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18384 | 35258 | Point (4.793885248411972 53.03831854375271)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21025 | 35293 | Point (4.823244912122377 53.04605387668478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22989 | 35189 | Point (4.892162954983051 53.097560812825705)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22989 | 35189 | Point (4.892160734204324 53.09756161055406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23542 | 35087 | Point (5.343763315940712 53.39733239370828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23542 | 35087 | Point (5.343762533387545 53.39733349254764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23720 | 35235 | Point (4.761400581360671 53.02696443861102)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23720 | 35235 | Point (4.761398076382462 53.02696510756331)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24754 | 35259 | Point (4.814024416585752 53.04210032985154)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24754 | 35259 | Point (4.814022051887654 53.04210104980232)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25510 | 35285 | Point (4.807375073786171 53.03758416521388)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25510 | 35285 | Point (4.807372697701801 53.037584878265264)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26380 | 35283 | Point (4.759639389305621 53.05811962693094)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26380 | 35283 | Point (4.759636793510263 53.058120302001306)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27173 | 35030 | Point (5.323910750712681 53.393379207230176)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27173 | 35030 | Point (5.323909877495539 53.393380300852435)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27797 | 35086 | Point (5.343881533147928 53.398591433401926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28796 | 35274 | Point (4.797454752093617 53.04352952690058)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28796 | 35274 | Point (4.797452326568299 53.04353023271008)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29811 | 35182 | Point (4.885717369583184 53.09335549668459)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29811 | 35182 | Point (4.885715134951751 53.0933562883647)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29836 | 35260 | Point (4.810568422534796 53.03848923190386)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29836 | 35260 | Point (4.810566055107651 53.03848994796092)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30013 | 35183 | Point (4.850879570114666 53.08340976728923)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30013 | 35183 | Point (4.850877233020692 53.083410528692504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30604 | 35111 | Point (5.322902377629687 53.3936403330797)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30604 | 35111 | Point (5.322903255806338 53.393639239593206)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30605 | 35083 | Point (5.340591165691809 53.396802195625746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30605 | 35083 | Point (5.340591962841379 53.3968010975551)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31050 | 35192 | Point (4.861788799826314 53.080977953933065)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31050 | 35192 | Point (4.861786507731091 53.08097872355539)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31344 | 35268 | Point (4.758300295073738 53.090867267468205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31344 | 35268 | Point (4.758297604952392 53.09086794963818)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31346 | 35098 | Point (5.314250510108052 53.39043565636665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31346 | 35098 | Point (5.314249593838476 53.39043674695373)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31821 | 35286 | Point (4.811314881131122 53.03390983465723)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31821 | 35286 | Point (4.811312527901223 53.03391055022619)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31894 | 35269 | Point (4.777876754237231 53.040358162210104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31894 | 35269 | Point (4.77787426957047 53.040358849649444)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33480 | 35254 | Point (4.858539082761012 53.08436039959299)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33480 | 35254 | Point (4.858536770934335 53.084361167465794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34792 | 35109 | Point (5.32315874271506 53.39308339930164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35252 | 35105 | Point (5.311698913696821 53.38839448818277)
