Gevonden: 1173 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464128189723673 53.06502763769263)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464131627605264 53.06502805618869)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221610717505028 52.65212751407345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221612301263765 52.65212811128191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231254580515839 52.65257171335514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231256185851077 52.652572301698704)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713786240702256 52.75986835542208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713783172335992 52.759868347509645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182064104613241 52.6324824397286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182065559831498 52.63248306920494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658106286021018 52.843098905313155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658109541493879 52.84309901260886)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10792 | 510978 | Point (6.794867652374543 53.081276365828664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244597978237215 52.767639670791276)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244599897263686 52.767640266478914)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613456584537456 52.85154728135993)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613459747895321 52.8515474550586)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212699655861473 52.6481993165875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212701211373748 52.64819992131554)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11257 | 46582 | Point (6.367474801137814 52.83375447868464)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11257 | 46582 | Point (6.36747722209548 52.83375496031603)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11361 | 39662 | Point (6.247144016936804 52.68133498410361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459391867364639 53.065950856539764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459395291404772 53.06595128110267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185550700849491 52.63413971625363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185552167017036 52.63414034295085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11560 | 9899 | Point (6.790311765222424 52.927475559532176)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11560 | 9899 | Point (6.790315756535146 52.92747547668084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.461302653775789 53.0659966303572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.4613060847611 53.06599705257576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12037 | 32974 | Point (6.39710561733923 52.7133644036478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12037 | 32974 | Point (6.39710775773562 52.7133648298329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.18403546875419 52.632855696696986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.184036928878094 52.63285632451468)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242051855459219 52.67356106585662)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242053535602049 52.673561647482195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185723286948257 52.63469577700084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185724754738073 52.63469640363518)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.225038768760185 52.69474850764085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.2250404626001 52.69474910875138)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12488 | 46727 | Point (6.31924373275027 52.85662693943281)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12488 | 46727 | Point (6.31924608378005 52.85662747764237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.196587193030462 52.60445197874701)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.19658577278163 52.60445136637832)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12562 | 8157 | Point (6.700934024757 53.04299892110283)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183056405470936 52.62609472114321)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183057848246737 52.62609534875059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12692 | 8452 | Point (6.335602734662185 52.65171360237734)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458549571683269 53.04450713555267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458552923353571 53.04450755607575)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183257540824264 52.623334228901406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183258977748021 52.62333485590187)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190867989494363 52.63653048144607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190869472122632 52.63653110385433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196664150874616 52.600685068507445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196665562561818 52.600685680236055)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13276 | 41524 | Point (6.717442007127008 52.78609890523669)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401149987049306 52.715469030988906)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401152143232165 52.71546945289433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13443 | 17200 | Point (6.713816935260826 52.61154819286266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.185121223647642 52.63407968870633)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.18512268879215 52.63408031576949)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742509185668724 52.77850922833479)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742512403649676 52.77850919450119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.19082532340227 52.63742951231142)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.190826808004744 52.63743013490004)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14015 | 478019 | Point (6.575451825578481 53.07913491230381)
