Gevonden: 115 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | Fransepad | 12 | 1261JE | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | Stachouwerweg | 1 | 1261HT | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10451 | Wakkerendijk | 106 | 3755DE | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10796 | Meentweg | 71 | 3755PB | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | St. Annastraat | 20 | 1411PH | Naarden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | Wakkerendijk | 88 A | 3755DD | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | Wakkerendijk | 88 | 3755DD | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11875 | Meentweg | 11 | 3755PA | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | Torenlaan | 2 | 1261GD | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | Torenlaan | 4 | 1261GD | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13016 | Angerechtsweg | 11 A | 1261XG | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13987 | Binnenweg | 3 | 1261EK | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13987 | Binnenweg | 5 | 1261EK | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14154 | Wakkerendijk | 54 | 3755DD | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14154 | Wakkerendijk | 52 | 3755DD | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14580 | Voorbaan | 28 | 1271RS | Huizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14580 | Voorbaan | 26 | 1271RS | Huizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14580 | Voorbaan | 24 | 1271RS | Huizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14960 | Meentweg | 47 | 3755PA | Eemnes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14962 | Burgemeester de Jongweg | 5 | 1261EP | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15916 | Raadhuisstraat | 10 | 1261EW | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17372 | Langeweg | 5 | 1261EL | Blaricum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17507 | Meentweg | 37 | 3755PA | Eemnes
