Gevonden: 603 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306224522282 52.27294051454717)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306083610206 52.27294135777735)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056467207100075 52.28257982895145)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056466892212574 52.28258058935722)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 532516 | Point (5.078572120636292 52.29858465346226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10451 | 14525 | Point (5.263261199374762 52.244079090689105)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10451 | 14525 | Point (5.263261305211078 52.244078245745754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10537 | 14533 | Point (5.258025163829172 52.23203797092814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10537 | 14533 | Point (5.258025064115881 52.23203881330919)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10796 | 14514 | Point (5.270608145678916 52.262142163977366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10796 | 14514 | Point (5.270608030996508 52.26214301261393)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | 30267 | Point (5.162428806162189 52.295160676314126)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | 30267 | Point (5.16242904475983 52.29515986292198)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11012 | 20253 | Point (5.653700141325693 52.35418541406134)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11205 | 30966 | Point (5.520578237995598 52.200980825331605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11666 | 23943 | Point (5.22807329469206 52.25744591592754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11666 | 23943 | Point (5.228073150615957 52.25744675085599)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | 14521 | Point (5.263885204887012 52.24613710253962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | 14521 | Point (5.263885097842289 52.24613794784098)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11875 | 14508 | Point (5.266880115120578 52.25407640074665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11875 | 14508 | Point (5.266880003941687 52.2540772476039)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Point (5.065747323728338 52.31850327169475)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Point (5.065747683994305 52.318502502700845)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12333 | 26201 | Point (5.123496243876337 52.20604617502087)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12333 | 26201 | Point (5.12349608428233 52.20604696335686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12456 | 26108 | Point (5.00512216860414 52.18646211476307)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12658 | 26206 | Point (5.116411761046657 52.20668626321349)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12658 | 26206 | Point (5.116411596360506 52.20668704822854)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12663 | 30631 | Point (5.023833703078119 52.275096820228136)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | 9622 | Point (5.243211286902264 52.27294224178589)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | 9622 | Point (5.243211140929784 52.27294308308762)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500924040683 52.15588186244516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500979456039 52.15588273488926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12892 | 32216 | Point (5.538640260171147 52.230195598873316)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12892 | 32216 | Point (5.538640355953922 52.230196476182925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13016 | 9584 | Point (5.247953418158967 52.27445870272329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13016 | 9584 | Point (5.247953561510643 52.2744578597792)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13282 | 26149 | Point (5.043884663876842 52.2495234701478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13520 | 32231 | Point (5.628420444958012 52.25364825307075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13520 | 32231 | Point (5.628420612799862 52.25364912257361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13578 | 15363 | Point (5.677816005709741 52.26455606369781)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13578 | 15363 | Point (5.677816218091848 52.264556924437144)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13633 | 22197 | Point (5.461733918298928 52.176334032968164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13987 | 9588 | Point (5.2485417298032 52.27378446946275)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13987 | 9588 | Point (5.248541587525836 52.27378531253023)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14084 | 17396 | Point (5.090615441491715 52.229310496364604)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14084 | 17396 | Point (5.09061565303459 52.229309722368505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14154 | 14519 | Point (5.265121635848208 52.249122331053144)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14154 | 14519 | Point (5.265121527314458 52.24912317697158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14352 | 14531 | Point (5.259509335140888 52.2351403783675)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14352 | 14531 | Point (5.259509233906959 52.235141221449574)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14580 | 22730 | Point (5.234641309814815 52.298294875754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14580 | 22730 | Point (5.234641133543319 52.2982957166367)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14768 | 23976 | Point (5.228338327952929 52.252908276773475)
