Gevonden: 460 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.774683805115308 52.75023489207809)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.77468207200578 52.75023551257957)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911615496157619 52.548730511397935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911614517478468 52.54873121050242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658421239440943 52.7233019414519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658419304403318 52.72330244213983)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644299829230548 52.59733834060871)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644298240220026 52.59733880447027)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794375840676091 52.78563590845013)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794377615245266 52.78563526329118)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11837 | 501549 | Point (5.159602349217266 52.72927861791496)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12261 | 30686 | Point (5.055980526712559 52.740816483562945)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12261 | 30686 | Point (5.055979494765373 52.74081730893973)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12454 | 14058 | Point (5.169802707422011 52.6932512255487)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12725 | 30724 | Point (5.069168676423991 52.74753048846903)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.94894863241612 52.67879385558711)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.948949799756465 52.67879310843567)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877056788489601 52.61884151049217)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877057981129132 52.61884082662835)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13877 | 510888 | Point (5.071555293472322 52.74941424841416)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13877 | 510888 | Point (5.071554285670986 52.74941508394786)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13951 | 22619 | Point (5.04755486988266 52.66047628894863)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13951 | 22619 | Point (5.04755394898041 52.66047709494847)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14287 | 6575 | Point (4.89022808490888 52.422593300684746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14287 | 6575 | Point (4.890227336314463 52.42259396643965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14301 | 6795 | Point (4.962882440069484 52.41008638299605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14301 | 6795 | Point (4.962881810666023 52.41008709951585)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14343 | 522183 | Point (4.8499116969552 52.50790703794242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14343 | 522183 | Point (4.849910703112871 52.507907683091666)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14595 | 8852 | Point (4.899786556764975 52.60123133967089)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14595 | 8852 | Point (4.899785446596179 52.60123203812721)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14599 | 37098 | Point (4.627706796744953 52.43555535547849)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14658 | 510447 | Point (4.922240030266861 52.68487484064855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14658 | 510447 | Point (4.922238791792684 52.68487556994998)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14776 | 502520 | Point (4.981387645718402 52.61833504998785)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14776 | 502520 | Point (4.981386661438616 52.618335808553695)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15205 | 30679 | Point (4.994656136689199 52.7084749550955)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15205 | 30679 | Point (4.994655015820685 52.708475737916565)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15316 | 8839 | Point (4.907163969873729 52.550006778225864)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15316 | 8839 | Point (4.907162980759946 52.550007474220436)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15387 | 14054 | Point (5.124627098749671 52.67144761316839)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15409 | 30705 | Point (5.05643405972345 52.74154567970804)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15409 | 30705 | Point (5.056433027693659 52.74154650547603)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15661 | 8683 | Point (4.892326821457701 52.79346036556458)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15661 | 8683 | Point (4.892325280204552 52.79346109321243)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15843 | 39313 | Point (5.026409224360347 52.679682254010594)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15843 | 39313 | Point (5.0264082256326 52.679683051117024)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15881 | 495620 | Point (5.155929150049222 52.690304323208935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16277 | 30710 | Point (5.058925723952761 52.742856496784796)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16277 | 30710 | Point (5.05892675206538 52.74285566938539)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16305 | 37072 | Point (4.647931007590716 52.45908736916257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16305 | 37072 | Point (4.647932181114247 52.45908692139806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16411 | 516066 | Point (4.700519042417583 52.57072376403426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16411 | 516066 | Point (4.700520450222431 52.57072324576962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16940 | 8793 | Point (4.948855798524958 52.557681404225214)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16940 | 8793 | Point (4.948854867631884 52.557682131325286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17058 | 8846 | Point (4.904789060139548 52.532499428295104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17058 | 8846 | Point (4.904790016907267 52.53249873667529)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17167 | 21078 | Point (4.812004030496468 52.651050680392686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17167 | 21078 | Point (4.81200263063217 52.6510513160628)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17267 | 495711 | Point (5.02516301809045 52.68018174238205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17267 | 495711 | Point (5.025162015766896 52.680182538836405)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17471 | 39974 | Point (4.775880094212935 52.45044218003618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17471 | 39974 | Point (4.775881062776488 52.45044160658199)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17625 | 39919 | Point (4.736240744443931 52.459155304814324)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17625 | 39919 | Point (4.736239697185141 52.45915584232371)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18241 | 8811 | Point (4.905072320314572 52.53633749894867)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18241 | 8811 | Point (4.905071356030894 52.536338191344775)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18291 | 510891 | Point (5.051557983505843 52.73810886950775)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18291 | 510891 | Point (5.051559021704576 52.73810804711852)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18463 | 30675 | Point (4.976451933373963 52.71199113295158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18463 | 30675 | Point (4.976453102692347 52.71199036123495)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18606 | 495730 | Point (5.079524670579046 52.69640340917274)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18606 | 495730 | Point (5.079523763366897 52.696404239036404)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18648 | 495646 | Point (5.135829578538509 52.68504214900811)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19252 | 495639 | Point (5.118523292959703 52.668701937357554)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19440 | 30713 | Point (5.059618357057327 52.74344171890499)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19440 | 30713 | Point (5.059617329678612 52.743442546798214)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20031 | 14374 | Point (5.049338372406981 52.514798744858155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20031 | 14374 | Point (5.049337688902693 52.51479952874804)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20202 | 37105 | Point (4.643642353310214 52.42630868424117)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20202 | 37105 | Point (4.643641270149808 52.42630912325306)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20468 | 30661 | Point (5.017951940783537 52.74118997144414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20468 | 30661 | Point (5.017950816466969 52.74119077481832)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20471 | 8851 | Point (4.926137009137655 52.527595566107024)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20471 | 8851 | Point (4.926136098364427 52.52759627267831)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20804 | 6793 | Point (4.96409203836309 52.408015291807466)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20891 | 8841 | Point (4.854405920869162 52.54317603678672)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20891 | 8841 | Point (4.85440485480446 52.54317669071586)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20917 | 510008 | Point (4.747104798525069 52.81829181675868)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20917 | 510008 | Point (4.747102815184791 52.8182924251075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21164 | 14052 | Point (5.116150227605816 52.6675641915745)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21245 | 14066 | Point (5.1456222459725 52.68725524721587)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21333 | 30692 | Point (5.048360537454065 52.73800994702944)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21333 | 30692 | Point (5.048361583174002 52.738009126462266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21614 | 502493 | Point (4.977465932376308 52.63830902733933)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21614 | 502493 | Point (4.977464903173467 52.63830978668309)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21765 | 39948 | Point (4.76638277722699 52.5003548869195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22476 | 37132 | Point (5.184418029845767 52.6608700005752)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22608 | 40334 | Point (4.99181262323485 52.57063007277511)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22608 | 40334 | Point (4.99181174563026 52.57063083041764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22715 | 8796 | Point (4.892411828460003 52.563930542224725)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22715 | 8796 | Point (4.892410783827487 52.56393122921406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | 8827 | Point (4.975900340891359 52.5543727014725)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22951 | 21079 | Point (4.819488812909882 52.656200355947476)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22951 | 21079 | Point (4.819487416318729 52.65620099894539)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22975 | 33060 | Point (4.792990467662318 52.7906430472616)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22975 | 33060 | Point (4.792988676857537 52.79064369218656)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23163 | 8801 | Point (4.91655246152876 52.555823223891636)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23163 | 8801 | Point (4.916551476955937 52.55582392770035)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23590 | 40012 | Point (4.77348407212958 52.46409998408864)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23590 | 40012 | Point (4.77348507832601 52.46409941103956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24356 | 30682 | Point (5.019016502713176 52.70254948851387)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24356 | 30682 | Point (5.019015448130364 52.70255028531901)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24626 | 22618 | Point (5.092004374667101 52.661924956280565)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24626 | 22618 | Point (5.092003546621947 52.66192578648413)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24849 | 30711 | Point (5.059312493135867 52.74275787619805)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24849 | 30711 | Point (5.059311466113538 52.74275870379183)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25146 | 511366 | Point (4.91858197040113 52.5284744122307)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25174 | 31800 | Point (4.975776453691261 52.69260308716799)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25174 | 31800 | Point (4.97577531930178 52.69260385490016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25261 | 14053 | Point (5.120454454908684 52.669595996241924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25330 | 39975 | Point (4.775694988131691 52.45113269518013)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25330 | 39975 | Point (4.775694017579069 52.451133268553995)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25584 | 37131 | Point (5.184816933002323 52.660906627764895)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26339 | 8843 | Point (4.906357025332498 52.532055724611645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26339 | 8843 | Point (4.906356072137355 52.53205641733626)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26344 | 11008 | Point (4.99247871662061 52.433520394621716)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26344 | 11008 | Point (4.992478083921172 52.4335211334214)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26350 | 510892 | Point (5.054457291614486 52.740426630835174)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26350 | 510892 | Point (5.054458326601002 52.740425806381104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26362 | 502528 | Point (4.929776678300307 52.65841012704382)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26362 | 502528 | Point (4.929775510308089 52.658410857117964)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27294 | 39976 | Point (4.774732990810521 52.45474075896793)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27294 | 39976 | Point (4.77473200987049 52.4547413319321)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27393 | 30704 | Point (5.056109232282461 52.74128498673428)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27393 | 30704 | Point (5.056110264671906 52.741284161196155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27422 | 8823 | Point (4.908402840719547 52.541815303858186)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27422 | 8823 | Point (4.908401870765366 52.541815999547865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28057 | 38765 | Point (4.982729028884834 52.618484178846025)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28057 | 38765 | Point (4.982730010767442 52.61848341938326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28154 | 524961 | Point (4.773868930178529 52.63688496154546)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28154 | 524961 | Point (4.773867486814439 52.63688556088643)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28621 | 502542 | Point (4.890596935609229 52.63069007610252)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28621 | 502542 | Point (4.890598126890806 52.63068937978443)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28769 | 498892 | Point (4.778241062701074 52.74897697583784)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28769 | 498892 | Point (4.778239341479154 52.74897759933854)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28846 | 510895 | Point (5.065987975152482 52.747206579682526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28846 | 510895 | Point (5.065986957245143 52.74720741178513)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28952 | 33620 | Point (4.7762289280307 52.76477478427182)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28952 | 33620 | Point (4.776227161111406 52.76477540899295)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28981 | 30725 | Point (5.069064131719539 52.74778999128082)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28981 | 30725 | Point (5.069063120386018 52.74779082516177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29189 | 511367 | Point (4.881593117918436 52.54655802751979)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29189 | 511367 | Point (4.881594144349193 52.54655735149521)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29302 | 38770 | Point (5.015745229291933 52.65538520275695)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29302 | 38770 | Point (5.015746209288504 52.65538441631656)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29336 | 40327 | Point (4.969786394503673 52.58508712535381)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29336 | 40327 | Point (4.969785449606492 52.58508787091146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29423 | 8825 | Point (4.904416866013202 52.5356248316892)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29423 | 8825 | Point (4.904415902097519 52.5356255234901)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29646 | 30694 | Point (5.052811109725969 52.7389563343735)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29646 | 30694 | Point (5.052810073157077 52.73895715762658)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29914 | 19913 | Point (4.694752064598648 52.404436563934865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29914 | 19913 | Point (4.694751109312305 52.40443705370768)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30565 | 33100 | Point (4.803315642377813 52.633079454623335)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30592 | 30702 | Point (5.055697494734141 52.74104036795516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30592 | 30702 | Point (5.05569646174224 52.74104119321712)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30779 | 508442 | Point (5.122885496258079 52.63652910816088)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31207 | 37123 | Point (4.629184988309054 52.452282083305)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31207 | 37123 | Point (4.629186168220908 52.452281656736304)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31226 | 516097 | Point (5.092852384582971 52.86841746427721)
