Gevonden: 460 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850792920493186 52.253509345555045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850794032175615 52.25350907113598)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.83711171121407 52.65916548941046)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.837114630857417 52.6591652808116)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10332 | 31753 | Point (6.897929940962622 52.40743649912293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713783172335992 52.759868347509645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713786240702256 52.75986835542208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10444 | 7552 | Point (6.692745120569566 52.30653491519615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11040 | 26275 | Point (6.964200803616012 52.32314471162337)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11329 | 20021 | Point (6.583263770193374 52.5458839066637)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11946 | 31464 | Point (6.529474689508625 52.513778322848225)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11977 | 12347 | Point (6.967691414240025 52.43885004409156)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12025 | 35756 | Point (6.896968834524704 52.43312988725351)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12225 | 28134 | Point (6.54027517019061 52.27451261474615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577499792602274 52.34480204918821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577501023202623 52.344802201265075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12478 | 34144 | Point (6.706846720891645 52.25502549180572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12529 | 12358 | Point (6.97222580762924 52.418438426837504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12837 | 33415 | Point (6.907703173274132 52.65681848597308)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12837 | 33415 | Point (6.907706232290458 52.65681815377059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13043 | 35771 | Point (6.831079430476002 52.43388856402326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13176 | 7556 | Point (6.616781094453255 52.24278415155277)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13276 | 41524 | Point (6.717442007127008 52.78609890523669)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13443 | 17200 | Point (6.713816935260826 52.61154819286266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.81360161186159 52.69584300710077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.813604643871609 52.69584284375352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742509185668724 52.77850922833479)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742512403649676 52.77850919450119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13991 | 31463 | Point (6.528484054329114 52.514210299971936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14206 | 21524 | Point (6.819419177312117 52.25483757997314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848197074562383 52.66046789987606)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848200023779711 52.66046767253177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14610 | 12354 | Point (6.888255938846119 52.39391445807018)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15278 | 15296 | Point (6.923839426868139 52.211995285450584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15278 | 15296 | Point (6.923840397048743 52.21199488074843)
