Gevonden: 67 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10639 | 35110 | Point (5.321563196648051 53.39453811181599)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10961 | 35107 | Point (5.321759389332526 53.39402607343202)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304783262669577 53.38943222229419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304782302760119 53.38943331037243)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13320 | 8649 | Point (5.486174268056899 53.22983220990833)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13320 | 8649 | Point (5.486174195200142 53.229833273115304)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13738 | 35099 | Point (5.318336556442 53.39183073420657)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13738 | 35099 | Point (5.318335658233504 53.391831826138244)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15414 | 35104 | Point (5.310031196932444 53.38806997205353)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15414 | 35104 | Point (5.310030262847725 53.388071060944746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16901 | 35103 | Point (5.309385298120096 53.387862901631436)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16901 | 35103 | Point (5.309384361181357 53.3878639903089)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19409 | 8642 | Point (5.459165239962391 53.21501742765612)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19409 | 8642 | Point (5.459165420094795 53.21501636927855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23542 | 35087 | Point (5.343762533387545 53.39733349254764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23542 | 35087 | Point (5.343763315940712 53.39733239370828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27173 | 35030 | Point (5.323910750712681 53.393379207230176)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27173 | 35030 | Point (5.323909877495539 53.393380300852435)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27797 | 35086 | Point (5.343881533147928 53.398591433401926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30604 | 35111 | Point (5.322902377629687 53.3936403330797)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30604 | 35111 | Point (5.322903255806338 53.393639239593206)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30605 | 35083 | Point (5.340591165691809 53.396802195625746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30605 | 35083 | Point (5.340591962841379 53.3968010975551)
