Gevonden: 1033 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10169 | Kampstraat | 26 | 6336VZ | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10189 | Terstraten | 4 | 6361GJ | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10308 | Honthem | 8 | 6269NR | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10318 | Klompestraat | 7 | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10318 | Klompestraat | 5 | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10335 | Bommerigerweg | 42 | 6281BT | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10423 | Overst Voerendaal | 4 | 6367GK | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10423 | Overst Voerendaal | 2 | 6367GK | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10586 | Ingberdorpsstraat | 29 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10727 | Kruisstraat | 29 | 6333CP | Schimmert
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10791 | Hilleshagerweg | 102 | 6281AH | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10791 | Hilleshagerweg | 100 | 6281AH | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10978 | Hurpescherweg | 4 | 6281NL | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11226 | Hunnecum | 17 | 6361EE | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11381 | Elzeterweg | 2 A | 6281NN | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11381 | Elzeterweg | 2 | 6281NN | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11388 | Dal Bissenweg | 6 | 6281NC | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11392 | Klimmenderstraat | 104 | 6343AE | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11488 | Rijksweg | 46 | 6267AH | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11496 | Julianastraat | 6 | 6285AJ | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11496 | Julianastraat | 4 B | 6285AJ | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11496 | Julianastraat | 4 C | 6285AJ | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11496 | Julianastraat | 4 D | 6285AJ | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11496 | Julianastraat | 4 E | 6285AJ | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11517 | Vroelenstraat | 6 | 6255AL | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11545 | Hartelstein | 204 | 6223HV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11545 | Hartelstein | 202 | 6223HV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11609 | Kaardenbekerweg | 5 | 6343RE | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11787 | Eyserheide | 29 | 6287NB | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11787 | Eyserheide | 27 A | 6287NB | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11802 | Hilleshagerweg | 2 | 6281AE | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11843 | Bergenhuizen | 12 | 6255NK | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11870 | Bergerstraat | 2 | 6226NA | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11870 | Bergerstraat | 4 | 6226NA | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11933 | Bosschenhuizen | 20 | 6369BK | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11933 | Bosschenhuizen | 20 A | 6369BK | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 21 | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 23 | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 25 | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 21 a | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12193 | Stationstraat | 312 | 6361BH | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12202 | Bommerigerweg | 40 | 6281BT | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12239 | Plaatweg | 3 | 6285NK | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12806 | Ransdalerstraat | 43 | 6311AW | Ransdaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12882 | Tentstraat | 67 | 6291BD | Vaals
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13104 | Sint Gerlach | 11 | 6301JA | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13104 | Sint Gerlach | 11 A | 6301JA | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13350 | Penderskoolhofweg | 3 | 6343RG | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13374 | Mingersborg | 20 | 6367JX | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13386 | Langs de Gewannen | 75 | 6235NV | Ulestraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13386 | Langs de Gewannen | 77 | 6235NV | Ulestraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 53 b | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 53 a | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 59 | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 53 | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 55 | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 51 | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 57 | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13441 | Holset | 61 | 6295ND | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13548 | Heerenhofweg | 8 | 6281AR | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13548 | Heerenhofweg | 5 | 6281AR | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13548 | Heerenhofweg | 7 | 6281AR | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13548 | Heerenhofweg | 3 | 6281AR | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13548 | Heerenhofweg | 9 | 6281AR | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13620 | Ambyerstraat Zuid | 155 | 6225AE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13781 | Onderstraat | 10 | 6255ND | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13836 | Grote Straat | 73 | 6325EB | Berg en Terblijt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14020 | Hunnecum | 7 | 6361EE | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14085 | Gasthuis | 59 | 6268NN | Bemelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14085 | Gasthuis | 61 | 6268NN | Bemelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14314 | Ransdalerstraat | 32 | 6312AH | Ransdaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14374 | Molenveld | 20 | 6361EP | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14374 | Molenveld | 22 | 6361EP | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14374 | Molenveld | 20 A | 6361EP | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14426 | Barrier | 92 | 6343RB | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14654 | Camerig | 5 | 6294NA | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14786 | Wittemer Allee | 1 | 6286AA | Wittem
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14786 | Wittemer Allee | 1 B | 6286AA | Wittem
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14786 | Wittemer Allee | 1 A | 6286AA | Wittem
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14792 | Dorpsstraat | 148 | 6251ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14876 | Kiewegracht | 9 | 6271BN | Gulpen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14970 | Vijlenstraat | 51 | 6294BA | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15373 | Mr dr Froweinweg | 67 | 6287CB | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15588 | Hilleshagerweg | 94 | 6281AH | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15677 | Rarenderstraat | 63 | 6291NC | Vaals
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15825 | Schilberg | 36 | 6255NR | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15839 | Kerkstraat | 76 | 6267EE | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15839 | Kerkstraat | 78 | 6267EE | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15839 | Vendelstraat | 1 | 6267EW | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15858 | Hekerweg | 29 | 6301RJ | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15858 | Hekerweg | 27 | 6301RJ | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15858 | Hekerweg | 27 A | 6301RJ | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15887 | Vroenhof | 60 | 6301KH | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 A | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 B | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15975 | Ingberdorpsstraat | 13 C | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16366 | Diepestraat | 10 | 6336VW | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16377 | Elkenrade | 7 | 6289NA | Elkenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 3 | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 A | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 B | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 C | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 D | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 E | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 F | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16414 | Maastrichterweg | 10 | 6361DS | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16414 | Maastrichterweg | 10 a | 6361DS | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16414 | Maastrichterweg | 12 | 6361DS | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16445 | Berghof | 3 | 6321PC | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16445 | Berghof | 2 | 6321PC | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16506 | Raar | 21 | 6231RP | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16605 | Hopschet | 16 | 6294BL | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16605 | Hopschet | 18 | 6294BL | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16630 | Dal Bissenweg | 8 | 6281NC | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16658 | Kerkstraat | 98 | 6267EG | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16658 | Kerkstraat | 100 | 6267EG | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16658 | Kerkstraat | 102 | 6267EG | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16721 | Klimmenerweg | 8 | 6336AV | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16763 | Cottessen | 10 a | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16763 | Cottessen | 11 a | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16763 | Cottessen | 11 e | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16763 | Cottessen | 11 f | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16763 | Cottessen | 11 d | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16763 | Cottessen | 10 | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16763 | Cottessen | 11 | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16799 | Gen Höf | 12 | 6269ND | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16931 | Rott | 48 | 6294NM | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16938 | Termaar | 67 | 6269AG | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16938 | Termaar | 71 | 6269AG | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16959 | Scheulderdorpsstraat | 56 | 6307PC | Scheulder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16959 | Scheulderdorpsstraat | 54 A | 6307PC | Scheulder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17005 | Peuschkensheiderweg | 1 | 6369GC | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17005 | Peuschkensheiderweg | 3 | 6369GC | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17100 | Reijmerstokkerdorpsstraat | 96 | 6274NN | Reijmerstok
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17148 | Holset | 48 | 6295NC | Lemiers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17156 | Achelerweg | 1 B | 6301RK | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17156 | Achelerweg | 1 | 6301RK | Valkenburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17266 | Dorpsstraat | 55 | 6277NC | Slenaken
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17453 | Stallestraat | 18 | 6261ND | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17475 | Ingberdorpsstraat | 21 | 6273NE | Ingber
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17676 | Branterweg | 22 | 6361DA | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17695 | Boeienstraat | 10 | 6285AE | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17702 | Bosschenhuizen | 21 | 6369BK | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17712 | Genzon | 42 | 6235AB | Ulestraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17838 | Keutenberg | 7 | 6305PP | Schin op Geul
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17898 | Kerkewegje | 1 | 6305BC | Schin op Geul
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17947 | Schreursweg | 5 | 6281NX | Mechelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18163 | Rijksweg | 10 | 6227SV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18234 | Beutenaken | 38 | 6278NB | Beutenaken
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18358 | Duivenstraat | 3 | 6261NV | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18358 | Duivenstraat | 1 A | 6261NV | Mheer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18526 | Harles | 3 | 6294NG | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18579 | Harles | 1 | 6294NG | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18590 | Kapelaan Houbenstraat | 22 | 6285AB | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18633 | Cottessen | 3 | 6294NE | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18875 | Kampstraat | 13 | 6336VX | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 108 | 6226BD | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 110 | 6226BE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19266 | Mr dr Froweinweg | 20 | 6287CC | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19309 | Wissengrachtweg | 76 | 6336TK | Hulsberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19433 | Branterweg | 18 | 6361DA | Nuth
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19484 | Kütersteenweg | 4 | 6255PC | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19504 | Beatrixweg | 8 | 6285NC | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19588 | Muntweg | 10 | 6325PD | Berg en Terblijt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19621 | Kuttingerweg | 5 A | 6285NL | Epen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19782 | Heerlerweg | 103 | 6367AC | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19788 | De Lirp | 42 | 6419EW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19788 | De Doom | 44 | 6419CX | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19817 | Camerig | 22 | 6294NB | Vijlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19855 | Schweibergerweg | 8 | 6281NG | Mechelen
