Gevonden: 281 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11102 | Mandenmakersstraat | 9 | 6107BR | Stevensweert
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11545 | Hartelstein | 204 | 6223HV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11545 | Hartelstein | 202 | 6223HV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11643 | Dorpstraat | 25 | 6181GW | Elsloo
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11870 | Bergerstraat | 2 | 6226NA | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11870 | Bergerstraat | 4 | 6226NA | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 A | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 B | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 C | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 D | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 E | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 F | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 H | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 K | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13263 | van Akenweg | 107 M | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13386 | Langs de Gewannen | 75 | 6235NV | Ulestraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13386 | Langs de Gewannen | 77 | 6235NV | Ulestraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13620 | Ambyerstraat Zuid | 155 | 6225AE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13883 | Driessensstraat | 27 | 6015AD | Neeritter
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14185 | van Akenweg | 86 | 6218HP | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14185 | Van Akenweg | 84 | 6218HP | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14977 | Eind | 4 | 6017BH | Thorn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16506 | Raar | 21 | 6231RP | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16599 | Hofstraat | 14 | 6017AK | Thorn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16792 | Everstraat | 6 | 6142BC | Einighausen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16792 | Everstraat | 6 A | 6142BC | Einighausen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16792 | Everstraat | 6 B | 6142BC | Einighausen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17196 | Bogenstraat | 11 | 6017AT | Thorn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17616 | Ruijtersweg | 62 | 6101RB | Echt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17712 | Genzon | 42 | 6235AB | Ulestraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18058 | Waterstraat | 3 | 6017AJ | Thorn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18100 | Kerkplein | 2 | 6243NC | Geulle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18148 | Waterstraat | 8 | 6017AJ | Thorn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18163 | Rijksweg | 10 | 6227SV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18525 | Brugstraat | 42 | 6171EV | Stein
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18542 | van Akenweg | 101 A 01 | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18542 | van Akenweg | 101 A 02 | 6218HL | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 108 | 6226BD | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 110 | 6226BE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19632 | Kerkplein | 9 | 6243NC | Geulle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19792 | Zonnebergweg | 10 | 6212NE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20397 | Tussen de Bruggen | 6 | 6231CC | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20890 | Kleingenhouterstraat | 7 | 6191PM | Beek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21258 | Tussen de Bruggen | 2 | 6231CC | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21258 | Tussen de Bruggen | 4 | 6231CC | Meerssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21316 | Dorpsstraat | 29 | 6097AL | Heel
