Gevonden: 493 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439035440760338 51.777593766215084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439036372933047 51.777593926335655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293073103087791 51.69480917647467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293074480152727 51.69480913219699)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427281142040398 51.60182548322776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427282685567459 51.60182563548109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.428132076757907 51.80996428648185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.42813124712367 51.809964141583976)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.247537855162298 51.846903208960526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.24753704013358 51.84690332757336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293913065484755 51.99549126470056)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293912864591789 51.995491310774106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13005 | 32467 | Point (4.416562663958276 51.86165408151197)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13005 | 32467 | Point (4.416563321025207 51.861654210234505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13236 | 38787 | Point (3.728391121329902 51.686049152698686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306442442822 52.0604668279408)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306399371472 52.06046704050618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13460 | 26599 | Point (4.268030692256633 51.949053899165555)
