Gevonden: 251 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10085 | 22129 | Point (5.847451764480392 51.249575964184295)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10097 | 34916 | Point (5.7219569433542 51.19511024351718)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11102 | 34889 | Point (5.845875850680627 51.13223218140395)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11233 | 9027 | Point (6.044540829358434 51.58570478707579)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11469 | 22652 | Point (5.990183120019508 51.43779882635829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11557 | 37218 | Point (5.973153529565921 51.50925715903077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11788 | 8891 | Point (6.120657972659613 51.32509292464665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11808 | 8879 | Point (6.059519223537776 51.256372575475964)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12418 | 32684 | Point (6.011746464998685 51.19875885118052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12685 | 21451 | Point (5.651047436199149 51.496461273608936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773166158386676 51.58142318763177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773165820528767 51.58142401535065)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13883 | 22849 | Point (5.804622751888144 51.16434335513595)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565908395845 51.673456744759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565473159838 51.673457495163014)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068913260099 51.509783789058794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068718668378 51.509784655427076)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14977 | 35478 | Point (5.844222073800121 51.16273804984473)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16251 | 8880 | Point (6.09540990342829 51.29285280385578)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16494 | 22646 | Point (6.037134669045027 51.47058983417737)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626337965733367 51.499552706255244)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626338132442098 51.49955183567977)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16599 | 35522 | Point (5.842063656032122 51.15987906635806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16897 | 526207 | Point (6.087299180827096 51.27531035469817)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16996 | 518259 | Point (5.672519423356246 51.60664670885254)
