Gevonden: 885 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482174117768 51.98836386539577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482326686305 51.98836442900257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | 32243 | Point (4.569183324571433 51.80847942848703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | 32243 | Point (4.569184054678477 51.80847975035778)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10771 | 34940 | Point (4.75080502211812 51.90491120273821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10812 | 17035 | Point (4.887463037837951 51.90323485528365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542454296086 51.846187125912095)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542885647283 51.84618774584821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10898 | 32510 | Point (4.596284723144115 51.868008714987084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10898 | 32510 | Point (4.596285259548558 51.86800906749566)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882077280349025 51.852319221171584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882076865088548 51.85231859617703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439035440760338 51.777593766215084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439036372933047 51.777593926335655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293073103087791 51.69480917647467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293074480152727 51.69480913219699)
