Gevonden: 119 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | Dorpsstraat | 3 | 7971CN | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12488 | Achterstraat | 14 | 7981AS | Diever
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14248 | Oosteinde | 18 | 8351HB | Wapserveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | Hoofdweg | 118 | 8383EK | Nijensleek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15444 | Dwarsweg | 2 | 7975AT | Uffelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17817 | Westeinde | 51 | 7991RT | Dwingeloo
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17935 | Dorpsstraat | 4 | 7971CR | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17935 | Dorpsstraat | 6 | 7971CR | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20260 | van Helomaweg | 23 | 7971PW | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20761 | Kosterijstraat | 1 | 7971CK | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20932 | Dorpsstraat | 12 | 7971CR | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21868 | van Helomaweg | 27 | 7971PW | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22458 | Overcingelaan | 5 | 7971RC | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22913 | Brink | 36 | 7991CJ | Dwingeloo
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23359 | Dorpsstraat | 14 | 7971CR | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23752 | Westeinde | 49 | 7991RT | Dwingeloo
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24643 | Westeinde | 24 | 7991RV | Dwingeloo
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24643 | Westeinde | 24 a | 7991RV | Dwingeloo
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25779 | Dokter Larijweg | 41 | 7961NM | Ruinerwold
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28843 | Rijksweg NZ | 14 | 7971CX | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28843 | Rijksweg NZ | 14 k 3 | 7971CX | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28843 | Rijksweg NZ | 14 k 4 | 7971CX | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28843 | Rijksweg NZ | 14 k 5 | 7971CX | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28843 | Rijksweg NZ | 14 k 6 | 7971CX | Havelte
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28843 | Rijksweg NZ | 14 k 8 | 7971CX | Havelte
