Gevonden: 74 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | Lyklamawei | 4 | 8566JL | Nijemirdum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | Jachthaven | 5 | 8556AM | Sloten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11837 | Dorpsstraat | 120 | 1693AJ | Wervershoof
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11837 | Dorpsstraat | 122 | 1693AJ | Wervershoof
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12261 | Dorpsweg | 82 | 1676GE | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12454 | Streekweg | 148 | 1616AM | Hoogkarspel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12725 | Zuiderweg | 1 | 1676GN | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12769 | Nieuwe Weide | 9 | 8713JD | Hindeloopen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13877 | Westeinde | 4 | 1674PP | Opperdoes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14713 | Jacobus Boomsmastraat | 16 | 8565GH | Sondel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15063 | Iwert | 10 | 8563AM | Wijckel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15409 | Dorpsweg | 85 | 1676GE | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16277 | Dorpsweg | 111 | 1676GH | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17686 | Achterom | 103 | 8556XR | Sloten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18604 | Stroeërweg | 29 | 1777NE | Hippolytushoef
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19440 | Dorpsweg | 118 | 1676GH | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22531 | Kerkbuurt | 19 | 8758LE | Allingawier
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24849 | Dorpsweg | 112 | 1676GH | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26350 | Dorpsweg | 78 | 1676GE | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26471 | Jacobus Boomsmastraat | 5 | 8565GE | Sondel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26570 | De Buurt | 1 | 1606AC | Venhuizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27393 | Dorpsweg | 84 | 1676GE | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28846 | Dorpsweg | 177 | 1676GL | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28981 | Dorpsweg | 205 | 1676GM | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29441 | Buren | 22 | 8756JP | Piaam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30592 | Dorpsweg | 81 | 1676GE | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30951 | Handvastwater | 46 | 1601PR | Enkhuizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31226 | Noorderdijkweg | 15 | 1771MJ | Wieringerwerf
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32569 | Stroeërweg | 7 | 1777ND | Hippolytushoef
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32677 | Dorpsweg | 108 | 1676GG | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33142 | Zuiderpad | 5 | 1674NK | Opperdoes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33177 | Dorpsweg | 171 | 1676GL | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33412 | Dorpsweg | 162 | 1676GK | Twisk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33795 | Dorpsweg | 138 | 1676GJ | Twisk
