Gevonden: 1167 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827785987766124 53.04213847845052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10239 | 35290 | Point (4.827783670428094 53.04213921018566)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10639 | 35110 | Point (5.321563196648051 53.39453811181599)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993735474825256 52.39468025850131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993734911899015 52.39468099337441)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10675 | 15823 | Point (5.506666046529984 53.151036539407016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10675 | 15823 | Point (5.506666068263628 53.15103758084121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10717 | 31370 | Point (5.891123477777647 52.43319573065505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.530649920072695 53.234711299821356)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.53065003094286 53.23471236347915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860292009184255 53.04967242570359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860290737134256 53.04967149622885)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911615496157619 52.548730511397935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911614517478468 52.54873121050242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10961 | 35107 | Point (5.321759389332526 53.39402607343202)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11012 | 20253 | Point (5.653700141325693 52.35418541406134)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895623427900585 53.19525208102647)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895625006502764 53.19525303087713)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929528828307 52.853242240515016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929746792717 52.853243207203576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823503764191443 53.045820714246084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11320 | 35292 | Point (4.823501422880479 53.04582144326224)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304783262669577 53.38943222229419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11456 | 35094 | Point (5.304782302760119 53.38943331037243)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646182563634871 52.89309390711519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646183023799343 52.89309487094322)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11837 | 501549 | Point (5.159602349217266 52.72927861791496)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Point (5.065747683994305 52.318502502700845)
