Gevonden: 70 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10948 | Brembos | 1 | 5688LC | Oirschot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11070 | Gestelseweg | 1 | 5296KP | Esch
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12831 | Raadhuisplein | 3 a | 5298CD | Liempde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12831 | Raadhuisplein | 3 | 5298CD | Liempde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13284 | Rosenhofstraat | 24 | 5298TB | Liempde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16086 | Kapelstraat | 22 | 5298CV | Liempde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16098 | Holleneind | 4 | 5076NH | Haaren
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17133 | Torenpad | 7 | 5056SE | Berkel-Enschot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18756 | Parkstraat | 17 | 5298CE | Liempde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19536 | Pallande | 8 | 5688NH | Oirschot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19594 | Boterwijksestraat | 10 | 5688HX | Oirschot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19970 | Oude Dijk | 19 | 5298BA | Liempde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19970 | Oude Dijk | 21 | 5298BA | Liempde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20029 | Tempeliersweg | 1 | 5076AG | Haaren
