Gevonden: 74 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10862 | Voldijnseweg | 2 a | 5091KK | Oost West en Middelbeers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10862 | Voldijnseweg | 2 | 5091KK | Oost West en Middelbeers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10996 | Zandoerle | 26 | 5507RK | Veldhoven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | Grote Voort | 1 | 5081HE | Hilvarenbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | Grote Voort | 1 B | 5081HE | Hilvarenbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11828 | Berkt | 50 | 5507LM | Veldhoven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12269 | Gorp | 5 A | 5081NB | Hilvarenbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12269 | Gorp | 5 | 5081NB | Hilvarenbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12361 | Hoofdstraat | 59 | 5528AH | Hoogeloon
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12716 | Hoef | 14 | 5525KM | Duizel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14326 | Julianastraat | 29 | 5087BA | Diessen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15328 | Gijselstraat | 4 | 5087TE | Diessen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15642 | Zandoerle | 15 | 5507RJ | Veldhoven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16738 | Voldijnseweg | 18 | 5091KK | Oost West en Middelbeers
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16968 | De Luther | 15 | 5095AC | Hooge Mierde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16968 | De Luther | 13 A | 5095AC | Hooge Mierde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19594 | Boterwijksestraat | 10 | 5688HX | Oirschot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21223 | Zandoerle | 36 | 5507RK | Veldhoven
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21523 | Markt | 2 | 5521AL | Eersel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21702 | Fluterd | 1 | 5688HV | Oirschot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22196 | Prins Hendriklaan | 1 | 5095NA | Hooge Mierde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22196 | Prins Hendriklaan | 3 | 5095NA | Hooge Mierde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23425 | Gijselstraat | 5 | 5087TE | Diessen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24217 | Vilderstraat | 1 | 5507LJ | Veldhoven
