Gevonden: 584 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259894831014 52.12742991397416)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259655966269 52.1274302530341)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.774683805115308 52.75023489207809)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.77468207200578 52.75023551257957)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.60767517047653 52.13983416414288)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.607674903990473 52.13983453742655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432526844892408 52.121819079143776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432527108714292 52.12181892242426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10901 | 38388 | Point (4.390959691405469 52.11825723103372)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658419304403318 52.72330244213983)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658421239440943 52.7233019414519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830734145009012 52.16486192799072)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830733903386595 52.16486252147577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644299829230548 52.59733834060871)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644298240220026 52.59733880447027)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794377615245266 52.78563526329118)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794375840676091 52.78563590845013)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226466366262 52.11864103189915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226239494598 52.118641307323905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008998374959 52.13105577190073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008751559143 52.13105612239168)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877057981129132 52.61884082662835)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877056788489601 52.61884151049217)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13126 | 41056 | Point (4.522190949248648 52.112515929215384)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13126 | 41056 | Point (4.522191157071934 52.112515657840454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13217 | 25697 | Point (4.523534564339117 52.14951280370997)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13217 | 25697 | Point (4.523534236662014 52.149513078846056)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13241 | 510065 | Point (4.670302161256246 52.28249577792424)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13241 | 510065 | Point (4.670301519859137 52.28249622975438)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434823025952 52.12175968240293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434560809904 52.12175984568419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552631857113 52.15738271483664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552229598673 52.15738283285712)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13766 | 6838 | Point (4.739707275100398 52.264398997340045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13766 | 6838 | Point (4.739706738358873 52.26439951685759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13789 | 25688 | Point (4.550168977973944 52.13948533863865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14031 | 19274 | Point (4.650954748304256 52.390618767987334)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14031 | 19274 | Point (4.650953778595969 52.3906192105935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14287 | 6575 | Point (4.89022808490888 52.422593300684746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14287 | 6575 | Point (4.890227336314463 52.42259396643965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14343 | 522183 | Point (4.8499116969552 52.50790703794242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14343 | 522183 | Point (4.849910703112871 52.507907683091666)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14595 | 8852 | Point (4.899786556764975 52.60123133967089)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14595 | 8852 | Point (4.899785446596179 52.60123203812721)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14599 | 37098 | Point (4.627706796744953 52.43555535547849)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15085 | 38372 | Point (4.405965474454384 52.153707887799186)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15085 | 38372 | Point (4.405965086968775 52.15370801029275)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15137 | 38393 | Point (4.433725799513937 52.149792000287064)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15137 | 38393 | Point (4.433726162268089 52.14979184035828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15224 | 38286 | Point (4.502933501833342 52.19518286910952)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15224 | 38286 | Point (4.502933014169704 52.19518312173119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15293 | 25896 | Point (4.538224308649857 52.235997283309715)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15493 | 21057 | Point (4.605768561777934 52.1294130715674)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15493 | 21057 | Point (4.605768325636378 52.129413442101786)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15661 | 8683 | Point (4.892326821457701 52.79346036556458)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15661 | 8683 | Point (4.892325280204552 52.79346109321243)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16305 | 37072 | Point (4.647931007590716 52.45908736916257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16305 | 37072 | Point (4.647932181114247 52.45908692139806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16411 | 516066 | Point (4.700520450222431 52.57072324576962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16411 | 516066 | Point (4.700519042417583 52.57072376403426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16814 | 514702 | Point (4.872758904328352 52.20637960348524)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16814 | 514702 | Point (4.872758594428906 52.20638023411359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16926 | 41052 | Point (4.527254836388241 52.121738870948846)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16926 | 41052 | Point (4.527254600069001 52.12173914902332)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17048 | 524643 | Point (4.365549552230918 52.107567948722775)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17048 | 524643 | Point (4.365549323214391 52.1075680120785)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17167 | 21078 | Point (4.812004030496468 52.651050680392686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17167 | 21078 | Point (4.81200263063217 52.6510513160628)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17280 | 7105 | Point (4.558105356878006 52.217146071734376)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17280 | 7105 | Point (4.558104829377659 52.21714639318623)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17437 | 38386 | Point (4.394720513367179 52.12052700015934)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17437 | 38386 | Point (4.394720243588218 52.12052710521996)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17464 | 41042 | Point (4.500961521694063 52.12807003667218)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17464 | 41042 | Point (4.500961786659115 52.12806979079846)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17471 | 39974 | Point (4.775881062776488 52.45044160658199)
