Gevonden: 664 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182064104613241 52.6324824397286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182065559831498 52.63248306920494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10717 | 31370 | Point (5.891123477777647 52.43319573065505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | 39917 | Point (6.006983470243219 52.52368067581267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | 39917 | Point (6.006984383617017 52.52368142192132)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11012 | 20253 | Point (5.653700141325693 52.35418541406134)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929528828307 52.853242240515016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929746792717 52.853243207203576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196007562319708 52.59949420291148)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196008969973798 52.59949481504303)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185550700849491 52.63413971625363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185552167017036 52.63414034295085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646182563634871 52.89309390711519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646183023799343 52.89309487094322)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11995 | 14852 | Point (5.833715824830051 52.449153481323286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11995 | 14852 | Point (5.833716365095028 52.44915431057477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.18403546875419 52.632855696696986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.184036928878094 52.63285632451468)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185723286948257 52.63469577700084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185724754738073 52.63469640363518)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.196587193030462 52.60445197874701)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.19658577278163 52.60445136637832)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12603 | 10500 | Point (6.090691261587661 52.717530352645596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183056405470936 52.62609472114321)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183057848246737 52.62609534875059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183257540824264 52.623334228901406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183258977748021 52.62333485590187)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190867989494363 52.63653048144607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190869472122632 52.63653110385433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196664150874616 52.600685068507445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196665562561818 52.600685680236055)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13423 | 10526 | Point (6.08427062444078 52.75029021474899)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.185121223647642 52.63407968870633)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.18512268879215 52.63408031576949)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13800 | 21156 | Point (6.106725740545278 52.39898007139728)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.190826808004744 52.63743013490004)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.19082532340227 52.63742951231142)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14139 | 10501 | Point (6.089819806432167 52.725956456122596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187345474110611 52.63373219876348)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187346943052654 52.63373282382467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14508 | 10509 | Point (6.033911680405454 52.7270912520894)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14713 | 15937 | Point (5.600477571895572 52.87205715285222)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14713 | 15937 | Point (5.600477891818565 52.87205811963639)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.19751665664483 52.60129040600222)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.197518071396588 52.60129101706486)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15001 | 23144 | Point (5.91213856501791 52.56228982018774)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15001 | 23144 | Point (5.912139370185122 52.5622906274555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15063 | 15941 | Point (5.620813210443934 52.88104149851814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15063 | 15941 | Point (5.620813591823847 52.881042464224834)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156573510934796 52.831949813205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156575347862103 52.831950500169306)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15140 | 15331 | Point (5.989831113111293 52.349723767908756)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15140 | 15331 | Point (5.98983050929635 52.34972303169807)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15193 | 10513 | Point (6.089810836494501 52.7494218470666)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15233 | 10511 | Point (6.090582239041285 52.73750040378635)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15658 | 507289 | Point (6.153566725228574 52.722991979006146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15658 | 507289 | Point (6.15356831787601 52.72299264796259)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16273 | 34443 | Point (6.197113973799124 52.597779656623324)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16273 | 34443 | Point (6.197112567966814 52.59777904573115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16281 | 31387 | Point (5.933374974707501 52.47649935621856)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16418 | 34310 | Point (6.19866519332995 52.63877827980544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16418 | 34310 | Point (6.198666697332998 52.6387788956607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16669 | 37502 | Point (6.148077897902741 52.86646007803391)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16669 | 37502 | Point (6.148079785591984 52.866460779104806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16753 | 20254 | Point (5.675908328929018 52.3564961600097)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16753 | 20254 | Point (5.67590859151606 52.35649703002333)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16790 | 34336 | Point (6.199306000983396 52.64227899817494)
