Gevonden: 148 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13236 | 38787 | Point (3.728391121329902 51.686049152698686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15163 | 16445 | Point (3.916180684153362 51.50046490845756)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15163 | 16445 | Point (3.916177898127302 51.50046559663646)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15822 | 11204 | Point (3.928952934190642 51.69400573341094)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15822 | 11204 | Point (3.928954730466274 51.69400505607677)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16815 | 23513 | Point (3.982368966573823 51.52451931906363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16815 | 23513 | Point (3.982371519582526 51.52451875688304)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17899 | 23511 | Point (4.011504342673748 51.51655957914564)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17899 | 23511 | Point (4.011506883603855 51.516559072416754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17957 | 36869 | Point (3.505104381504583 51.50290583779645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17957 | 36869 | Point (3.505107893084444 51.50290423058095)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18727 | 386771 | Point (3.915624961903828 51.50063842727729)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18727 | 386771 | Point (3.91562774805173 51.50063773798719)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19067 | 23512 | Point (4.01144809726734 51.51603751199953)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19067 | 23512 | Point (4.011450640747036 51.516037005213995)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23025 | 39101 | Point (3.698382107598166 51.56034255175896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23025 | 39101 | Point (3.698384942316652 51.560341397334845)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23647 | 40479 | Point (3.913845676969726 51.6497577149424)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23647 | 40479 | Point (3.913847715372427 51.64975701025957)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25329 | 41940 | Point (4.079595401737542 51.669409378709425)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25329 | 41940 | Point (4.079597136303767 51.669408984686704)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27227 | 35435 | Point (4.072917355022265 51.56427352985789)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27227 | 35435 | Point (4.07291957510825 51.56427313095179)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28121 | 21442 | Point (4.097522096865967 51.84490127956328)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28121 | 21442 | Point (4.097521176678193 51.84490164777696)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28288 | 23498 | Point (3.993126074190427 51.517347939841436)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28288 | 23498 | Point (3.993123505333141 51.51734848104376)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28617 | 38839 | Point (3.799853645454793 51.739173608699495)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28617 | 38839 | Point (3.799855345153714 51.73917266486922)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30081 | 29707 | Point (3.585084670417869 51.50836631114235)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30081 | 29707 | Point (3.585088004037917 51.50836489862022)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30388 | 38782 | Point (3.715478335561709 51.67573473808313)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30388 | 38782 | Point (3.715480485749648 51.675733613486656)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30424 | 38821 | Point (3.799759508209926 51.71465676594479)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30424 | 38821 | Point (3.799761342112912 51.71465582304147)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30520 | 520830 | Point (4.092391582087139 51.89965253207164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30520 | 520830 | Point (4.092390909173846 51.899652909695234)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30970 | 38784 | Point (3.708309710606232 51.67452519065766)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31140 | 42155 | Point (3.514479331074725 51.56628795167219)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31140 | 42155 | Point (3.514482426255594 51.56628636151223)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31219 | 42005 | Point (4.083972664131092 51.77698071488265)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31219 | 42005 | Point (4.083971423963101 51.77698110560066)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31320 | 37026 | Point (3.656993166008857 51.540488731730626)
