Gevonden: 200 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10423 | Overst Voerendaal | 4 | 6367GK | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10423 | Overst Voerendaal | 2 | 6367GK | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10760 | Jan Peukensweg | 13 | 6343PR | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10760 | Kruisstraat | 1 | 6343PS | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11122 | Johannes XXIII-singel | 46 | 6416GH | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | Esschenweg | 111 A | 6412PW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | Esschenweg | 111 B | 6412PW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | Esschenweg | 111 | 6412PW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11392 | Klimmenderstraat | 104 | 6343AE | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11609 | Kaardenbekerweg | 5 | 6343RE | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11787 | Eyserheide | 29 | 6287NB | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11787 | Eyserheide | 27 A | 6287NB | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11933 | Bosschenhuizen | 20 | 6369BK | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11933 | Bosschenhuizen | 20 A | 6369BK | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 21 | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 23 | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 25 | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | Wijnstraat | 21 a | 6369GJ | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12806 | Ransdalerstraat | 43 | 6311AW | Ransdaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13350 | Penderskoolhofweg | 3 | 6343RG | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13374 | Mingersborg | 20 | 6367JX | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14314 | Ransdalerstraat | 32 | 6312AH | Ransdaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14426 | Barrier | 92 | 6343RB | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15373 | Mr dr Froweinweg | 67 | 6287CB | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15664 | Crombacherstraat | 28 | 6465AH | Kerkrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16155 | Corisbergweg | 121 | 6418CT | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16377 | Elkenrade | 7 | 6289NA | Elkenrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16420 | Corisbergweg | 119 | 6418CT | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16420 | Corisbergweg | 117 | 6418CT | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17005 | Peuschkensheiderweg | 1 | 6369GC | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17005 | Peuschkensheiderweg | 3 | 6369GC | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17702 | Bosschenhuizen | 21 | 6369BK | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19266 | Mr dr Froweinweg | 20 | 6287CC | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19782 | Heerlerweg | 103 | 6367AC | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19788 | De Lirp | 42 | 6419EW | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19788 | De Doom | 44 | 6419CX | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20075 | Op Gen Hek | 22 | 6367GL | Voerendaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21526 | Molsberg | 96 | 6369GP | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21821 | Retersbekerweg | 40 | 6343PK | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22124 | Esschenderweg | 1 | 6343PN | Klimmen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23135 | Paumstraat | 16 | 6351BB | Bocholtz
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23679 | Kelderweg | 6 | 6287CE | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23847 | De Doom | 22 | 6419CX | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24043 | Waalbroek | 46 | 6369TE | Simpelveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24535 | Valkenburgerweg | 54 | 6419AV | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25024 | Leienhuisweg | 1 B 1 | 6321AV | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25024 | Leienhuisweg | 1 C | 6321AV | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25024 | Leienhuisweg | 1 A | 6321AV | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25024 | Leienhuisweg | 1 B | 6321AV | Wijlre
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25788 | Eyserbosweg | 2 | 6287NA | Eys
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25970 | Meezenbroekerweg | 13 | 6415SC | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25970 | Meezenbroekerweg | 13 B | 6415SC | Heerlen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26390 | Baneheide | 28 | 6353AL | Baneheide
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26537 | Justus van Maurikstraat | 37 | 6416EH | Heerlen
