Gevonden: 897 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.95466314715688 51.658752549565406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.954663855384985 51.65875323243754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10063 | 38345 | Point (4.965008421137739 51.677703043644414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932537637046493 51.68601213982782)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932538323323517 51.686012806056254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608137267755 51.94594426179195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608357572277 51.945944909034516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482326686305 51.98836442900257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482174117768 51.98836386539577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522954223565 51.882068898426006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522619979776 51.88206823954896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10590 | 523132 | Point (5.135649215879788 51.819915124351965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10677 | 39617 | Point (5.054614900183468 51.78668994178061)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10812 | 17035 | Point (4.887463037837951 51.90323485528365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542454296086 51.846187125912095)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542885647283 51.84618774584821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882076865088548 51.85231859617703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882077280349025 51.852319221171584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10948 | 31256 | Point (5.299654311817442 51.52231769054074)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634668179117 51.97499995776627)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634509051309 51.97499928759607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.07429658978556 51.569058425992)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.074297272073429 51.569059186872394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866726621322576 51.84426079738121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866727061865107 51.844261410382536)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | 21998 | Point (5.021605078257222 51.85752848648849)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507439498442 51.99964705436357)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507555271842 51.99964771231532)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11428 | 22707 | Point (5.137537090706642 51.99746423487794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11428 | 22707 | Point (5.137537190530359 51.99746501864075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11577 | 24047 | Point (5.073230555173843 51.91690131559711)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11577 | 24047 | Point (5.0732307724778 51.91690206592456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | 518915 | Point (5.125918175691731 51.501428654941954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | 518915 | Point (5.125918857691086 51.501429446936655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11625 | 35839 | Point (5.136683196630432 51.61279526304771)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | 23551 | Point (5.078156733613304 51.87901056798021)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | 23551 | Point (5.078157000588716 51.87901132065425)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810988845338642 51.945012995579816)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810989094741902 51.945013563000956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11928 | 521011 | Point (5.052738718823456 51.73281657374941)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11978 | 16469 | Point (5.197957769692494 51.88544849426326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11978 | 16469 | Point (5.197957973140851 51.885449301254546)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12042 | 23545 | Point (5.05723099038727 51.87481003465077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12042 | 23545 | Point (5.057231273404851 51.874810775985196)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12097 | 16120 | Point (4.896296668831379 51.856747927327966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12097 | 16120 | Point (4.896296270372998 51.85674729146664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12166 | 24037 | Point (5.070655353695253 51.91725394338956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12166 | 24037 | Point (5.070655571429692 51.917254692340485)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12207 | 8113 | Point (5.204444216798724 51.747442887654735)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12347 | 14207 | Point (4.955150602402846 51.74858699212765)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12409 | 21466 | Point (5.221890579645726 51.64915255441546)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12409 | 21466 | Point (5.22189018321408 51.64915173326681)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12425 | 334657 | Point (5.058408258344116 51.78324007556261)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12463 | 21329 | Point (5.083509085265083 51.94457705222703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12541 | 22626 | Point (4.945942227228519 51.88026028022258)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12541 | 22626 | Point (4.94594255591694 51.880260952091504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12567 | 23548 | Point (5.070290885714058 51.876158284909444)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12567 | 23548 | Point (5.070291160405938 51.87615903338196)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12617 | 29958 | Point (4.843242258375769 51.881888631430776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12684 | 17041 | Point (4.917663547485622 51.91245566361978)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12719 | 32281 | Point (4.904119127031897 51.68625793411119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12719 | 32281 | Point (4.904119844565204 51.68625857963513)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12739 | 17047 | Point (4.888382526630499 51.90287023692146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12886 | 25815 | Point (5.011628843421961 51.92583555895371)
