Gevonden: 419 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101759140150004 53.145793557236544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101761449171687 53.14579436084177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447435113518844 53.22752560679959)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447439012198719 53.22752608697956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10359 | 31399 | Point (6.329429669645822 53.30955490111999)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10530 | 7070 | Point (6.511032445109284 53.274520370405966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.08841348394238 53.372824561430285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.088416179988857 53.372825438824925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213658887899398 53.23812449549808)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213661846303574 53.238125228792825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12044 | 32147 | Point (6.481766499946629 53.14847933738611)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12099 | 23669 | Point (6.393176535103047 53.38594730661345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12315 | 478212 | Point (6.471984416466266 53.16851817606153)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494720244150522 53.15716663197103)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494724100836384 53.157167034701594)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432447784206681 53.13596971487274)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432451332660686 53.13597018935943)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12700 | 485394 | Point (6.577537185625773 53.254505156705136)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12700 | 485394 | Point (6.577532651218502 53.25450483880544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157245241614468 53.21172175196671)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157247907359409 53.21172252798477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13431 | 8734 | Point (6.576709662219471 53.29190512590006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941473746131514 53.13133900824879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941475418593825 53.13133991619158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13696 | 11699 | Point (5.942968544300543 53.31171230337326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13793 | 23764 | Point (6.085926970792889 53.292626435901454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114187682074174 53.27982403692482)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114190310046139 53.27982486718948)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232675557991432 53.13371768391237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232678340613477 53.13371837179404)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158251473191371 53.292461700146866)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158254318961575 53.292462497731286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14113 | 24024 | Point (6.41026538047149 53.36192818032179)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299400336889995 53.14830724220268)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299403412084242 53.14830786801617)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150523322532567 53.27948179870821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150526106667336 53.27948259915352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921067379420438 53.355758035240456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921069274606936 53.35575901734851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15451 | 7057 | Point (6.094293994875803 53.23583271854965)
