Gevonden: 516 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464128189723673 53.06502763769263)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464131627605264 53.06502805618869)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447435113518844 53.22752560679959)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447439012198719 53.22752608697956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10359 | 31399 | Point (6.329429669645822 53.30955490111999)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10530 | 7070 | Point (6.511032445109284 53.274520370405966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10792 | 510978 | Point (6.794867652374543 53.081276365828664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213658887899398 53.23812449549808)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213661846303574 53.238125228792825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459395291404772 53.06595128110267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459391867364639 53.065950856539764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.4613060847611 53.06599705257576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.461302653775789 53.0659966303572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12044 | 32147 | Point (6.481766499946629 53.14847933738611)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12099 | 23669 | Point (6.393176535103047 53.38594730661345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12315 | 478212 | Point (6.471984416466266 53.16851817606153)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494720244150522 53.15716663197103)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494724100836384 53.157167034701594)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12562 | 8157 | Point (6.700934024757 53.04299892110283)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432447784206681 53.13596971487274)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432451332660686 53.13597018935943)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12700 | 485394 | Point (6.577532651218502 53.25450483880544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12700 | 485394 | Point (6.577537185625773 53.254505156705136)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12752 | 510907 | Point (6.689389205805645 53.100749609825016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12752 | 510907 | Point (6.689393588108852 53.10074972566634)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458549571683269 53.04450713555267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458552923353571 53.04450755607575)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13058 | 20280 | Point (6.621222741906223 53.13840700707059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13058 | 20280 | Point (6.621227017325097 53.13840723316101)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13431 | 8734 | Point (6.576709662219471 53.29190512590006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13797 | 20295 | Point (6.655095338416839 53.12592124579329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13797 | 20295 | Point (6.655099693692097 53.12592141931503)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232675557991432 53.13371768391237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232678340613477 53.13371837179404)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14015 | 478019 | Point (6.575451825578481 53.07913491230381)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14015 | 478019 | Point (6.57545571035439 53.07913518848967)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14080 | 47046 | Point (6.680902405670967 53.09505402526744)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14080 | 47046 | Point (6.680906733906691 53.09505415264723)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14113 | 24024 | Point (6.41026538047149 53.36192818032179)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442469499638507 53.052890850296066)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442472821965742 53.05289129240788)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14573 | 515350 | Point (6.674050366751733 53.37115738133549)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14573 | 515350 | Point (6.674055776896491 53.37115759175284)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14581 | 20297 | Point (6.664059473984374 53.12120702626317)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14581 | 20297 | Point (6.664055103683512 53.1212068672278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299403412084242 53.14830786801617)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299400336889995 53.14830724220268)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14956 | 513603 | Point (6.795054221989456 53.20705580071481)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15757 | 34507 | Point (6.69889843457709 53.322049191024284)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15795 | 20302 | Point (6.634665039317516 53.15007635360145)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15795 | 20302 | Point (6.634669410979289 53.150076563130156)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15906 | 23469 | Point (6.655152352042467 53.39048062595484)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16354 | 478018 | Point (6.578268611455606 53.07845088282987)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16354 | 478018 | Point (6.578272503870903 53.07845115496126)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16812 | 23468 | Point (6.668061292424211 53.39237473641419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16822 | 23980 | Point (6.38475452452997 53.18422839557259)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16822 | 23980 | Point (6.384758035344775 53.18422893819576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17046 | 31401 | Point (6.334881977857172 53.28679513556941)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17046 | 31401 | Point (6.334885578154163 53.286795761252364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17385 | 32531 | Point (6.432409452636941 53.13561957781956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17385 | 32531 | Point (6.432412999843144 53.135620052263924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17412 | 15536 | Point (6.442866171313814 53.309411570188246)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17473 | 32139 | Point (6.534743703217748 53.14025489934528)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17473 | 32139 | Point (6.534747655725564 53.140255245618356)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17539 | 478213 | Point (6.451694859487794 53.11529307926298)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17539 | 478213 | Point (6.451698414684117 53.11529352527851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17546 | 31807 | Point (6.262813594398211 53.07601564989326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17546 | 31807 | Point (6.262816344463558 53.076016294337514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18085 | 34502 | Point (6.704631065846207 53.33086493115084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18183 | 14566 | Point (6.445569006929294 53.40558025591573)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18183 | 14566 | Point (6.445573468061927 53.40558078871781)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18267 | 32143 | Point (6.496212980633136 53.1459826282881)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18267 | 32143 | Point (6.496216805379626 53.14598302627324)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18650 | 18798 | Point (6.246326980684334 53.26527512278794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18650 | 18798 | Point (6.246330142931373 53.2652758328041)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18794 | 8576 | Point (6.541475598261429 53.34942709739855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18815 | 484088 | Point (6.630569917695429 53.24104513375931)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18826 | 32540 | Point (6.479724032312923 53.17313833299272)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18826 | 32540 | Point (6.479727883809107 53.173138758846676)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19146 | 46515 | Point (6.678900538097519 53.058759484361836)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19243 | 526116 | Point (6.29368304911582 53.259176681162714)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19243 | 526116 | Point (6.293679701138303 53.25917601988912)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19293 | 32138 | Point (6.495823540239062 53.14770265275003)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19293 | 32138 | Point (6.495827369290264 53.147703051668245)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19424 | 14563 | Point (6.460115118318781 53.39838928373155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19671 | 32536 | Point (6.433620238808998 53.135635969491254)
