Gevonden: 104 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | Zuiderlingedijk | 133 | 4211BC | Spijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | Zuiderlingedijk | 131 | 4211BC | Spijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11577 | Hoogeind | 17 | 4143LW | Leerdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | Oudendijk | 5 | 4163LG | Oosterwijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | Oudendijk | 7 | 4163LG | Oosterwijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11978 | Voorstraat | 5 | 4153AH | Beesd
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11978 | Voorstraat | 7 | 4153AH | Beesd
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12042 | Lingedijk | 137 | 4163LJ | Oosterwijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12166 | Hoogeind | 19 | 4143LW | Leerdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12463 | Hei- en Boeicopseweg | 40 | 4126RJ | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12541 | Dorpsweg | 125 | 4223NH | Hoornaar
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12567 | Lingedijk | 175 | 4163LK | Oosterwijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12989 | Zuiderlingedijk | 79 | 4211BA | Spijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13190 | Lingedijk | 197 | 4163LK | Oosterwijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14332 | Lingedijk | 82 | 4151CN | Acquoy
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14537 | Hei- en Boeicopseweg | 57 | 4126RE | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14537 | Hei- en Boeicopseweg | 59 | 4126RE | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15277 | Overboeicop | 42 | 4145NR | Schoonrewoerd
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16179 | Hei- en Boeicopseweg | 21 | 4126RD | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16179 | Hei- en Boeicopseweg | 23 | 4126RD | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19115 | Smalzijde | 23 | 4243JP | Nieuwland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19200 | Havendijk | 23 | 4153AW | Beesd
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19655 | Schoolstraat | 18 | 4241XA | Arkel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19853 | Achterdijk | 15 | 4241TG | Arkel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21311 | Lekdijk | 15 | 4121KG | Everdingen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21666 | Hei- en Boeicopseweg | 65 | 4126RE | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21910 | Dorpsweg | 2 | 4245KP | Leerbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23875 | Dorpsdijk | 41 | 4156AM | Rumpt
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24189 | Hei- en Boeicopseweg | 24 | 4126RJ | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25385 | Lingedijk | 84 | 4151CN | Acquoy
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25385 | Lingedijk | 86 | 4151CN | Acquoy
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27180 | Goilberdingerdijk | 37 | 4105LB | Culemborg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27180 | Goilberdingerdijk | 38 | 4105LB | Culemborg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28018 | Recht van Ter Leede | 2 | 4245KB | Leerbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28018 | Recht van Ter Leede | 4 | 4245KB | Leerbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28018 | Recht van Ter Leede | 2 A | 4245KB | Leerbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28018 | Recht van Ter Leede | 2 B | 4245KB | Leerbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28018 | Recht van Ter Leede | 3 | 4245KB | Leerbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28102 | Smalzijde | 24 | 4243JP | Nieuwland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28770 | Voorstraat | 103 | 4153AK | Beesd
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28770 | Voorstraat | 105 | 4153AK | Beesd
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31582 | Lekdijk | 48 | 3998NJ | Schalkwijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31582 | Lekdijk | 50 | 3998NJ | Schalkwijk
