Gevonden: 112 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10590 | Waaldijk | 147 | 4171CC | Herwijnen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10677 | Hoge Maasdijk | 4 | 4281NG | Andel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | Zuiderlingedijk | 133 | 4211BC | Spijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | Zuiderlingedijk | 131 | 4211BC | Spijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11928 | Raadhuisstraat | 21 | 4266EA | Eethen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11928 | Raadhuisstraat | 21 a | 4266EA | Eethen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12347 | Korn | 39 | 4271BN | Dussen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12347 | Korn | 41 | 4271BN | Dussen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12425 | Burgemeester van der Schansstraat | 21 | 4281LG | Andel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12989 | Zuiderlingedijk | 79 | 4211BA | Spijk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13218 | Grotestraat | 40 | 4264RM | Veen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13280 | Waaldijk | 189 | 4171CD | Herwijnen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13672 | Broeksestraat | 75 | 4269VE | Babyloniënbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13731 | Maasdijk | 27 | 4283GB | Giessen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15050 | Hoge Maasdijk | 51 | 4281NE | Andel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15050 | Hoge Maasdijk | 53 | 4281NE | Andel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15797 | Hoge Maasdijk | 8 | 4281NG | Andel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15797 | Koningin Emmastraat | 4 | 4281NS | Andel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17352 | Katerdam | 1 | 4171BE | Herwijnen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18110 | Dussen Dijk | 29 | 4271XL | Dussen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19205 | Meerhoek | 22 | 4265HC | Genderen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19205 | Meerhoek | 22 A | 4265HC | Genderen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19419 | Visserskade | 44 | 4273GL | Hank
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19655 | Schoolstraat | 18 | 4241XA | Arkel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20569 | Maasdijk | 87 | 5308JC | Aalst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21123 | Uppelse Hoek | 26 | 4286EM | Almkerk
