Gevonden: 147 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11488 | Rijksweg | 46 | 6267AH | Cadier en Keer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12213 | Kapelkesstraat | 68 | 6245AK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12721 | Rijksweg | 119 | 6247AD | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13201 | De la Margellelaan | 16 | 6245AR | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13201 | De la Margellelaan | 20 A | 6245AR | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13313 | Sint Jozefstraat | 62 | 6245LP | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13313 | Sint Jozefstraat | 60 | 6245LP | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 44 A | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 42 | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 44 | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 40 A | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 A | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 B | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 C | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 D | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 E | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15338 | Rijckholterweg | 4 | 6245LS | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16338 | Dorpsstraat | 64 | 6252NE | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16467 | Rijckholterweg | 6 | 6245LS | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16796 | Dorpstraat | 24 | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17570 | Maastrichterweg | 2 | 6247NA | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17973 | Rijksweg | 4 | 6247AH | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18163 | Rijksweg | 10 | 6227SV | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18876 | Dorpstraat | 26 | 6265AL | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 108 | 6226BD | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18957 | Bergerstraat | 110 | 6226BE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19735 | Parrestraat | 3 | 6245LJ | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19792 | Zonnebergweg | 10 | 6212NE | Maastricht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21461 | Eckelraderweg | 12 | 6251NK | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21461 | Eckelraderweg | 12 A | 6251NK | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21785 | Dorpsstraat | 82 | 6251ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22756 | Vroenhof | 5 | 6245BZ | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22899 | Rijksweg | 187 | 6247AG | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23916 | Sint Jozefstraat | 67 | 6245LL | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26644 | Moerslag | 24 | 6265NC | Sint Geertruid
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26787 | Rijckholterweg | 8 | 6245LS | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26978 | Kapelkesstraat | 36 | 6245AK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26978 | Kapelkesstraat | 38 | 6245AK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26978 | Kapelkesstraat | 38 A | 6245AK | Eijsden
