Gevonden: 27 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11023 | Prelaatweg | 84 A | 4363NJ | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11023 | Prelaatweg | 82 | 4363NJ | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11023 | Prelaatweg | 82 A | 4363NJ | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17178 | Prelaatweg | 81 | 4363ND | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17243 | Babelweg | 4 | 4357RJ | Domburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23025 | Sint Felixweg | 3 | 4493PR | Kamperland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31140 | Domburgseweg | 48 | 4357NH | Domburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31320 | Veerseweg | 59 | 4351NA | Veere
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37433 | Wagenaarstraat | 51 | 4351BB | Veere
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37433 | Wagenaarstraat | 53 | 4351BB | Veere
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37433 | Wagenaarstraat | 55 | 4351BB | Veere
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38391 | Koningin Emmaweg | 26 | 4354KE | Vrouwenpolder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38888 | Aagtekerkseweg | 5 | 4356RH | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39064 | Noordweg | 54 | 4356ED | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/44514 | Kloosterweg | 4 | 4363SC | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48043 | Molenweg | 8 | 4356AB | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48210 | Noordweg | 39 | 4356EB | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/49548 | Warwijcksestraat | 14 | 4351BE | Veere
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/53637 | Wijkhuijsweg | 10 | 4356RC | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/54233 | Wagenaarstraat | 43 | 4351BB | Veere
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/56718 | Duinbeekseweg | 7 | 4356CD | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57404 | Baas Huisweg | 14 | 4493NE | Kamperland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57404 | Baas Huisweg | 15 | 4493NE | Kamperland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67084 | Dunoweg | 8 | 4356EK | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67089 | Dunoweg | 8 | 4356EK | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67271 | Dunoweg | 3 | 4356EJ | Oostkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67273 | Dunoweg | 3 | 4356EJ | Oostkapelle
