Gevonden: 416 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464128189723673 53.06502763769263)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464131627605264 53.06502805618869)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.83711171121407 52.65916548941046)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.837114630857417 52.6591652808116)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713783172335992 52.759868347509645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713786240702256 52.75986835542208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10605 | 510857 | Point (6.832250311934654 53.01475625045549)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658106286021018 52.843098905313155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10637 | 38761 | Point (6.658109541493879 52.84309901260886)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10792 | 510978 | Point (6.794867652374543 53.081276365828664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613456584537456 52.85154728135993)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11184 | 47005 | Point (6.613459747895321 52.8515474550586)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459395291404772 53.06595128110267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459391867364639 53.065950856539764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11560 | 9899 | Point (6.790311765222424 52.927475559532176)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11560 | 9899 | Point (6.790315756535146 52.92747547668084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.461302653775789 53.0659966303572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.4613060847611 53.06599705257576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12562 | 8157 | Point (6.700934024757 53.04299892110283)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458549571683269 53.04450713555267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458552923353571 53.04450755607575)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13276 | 41524 | Point (6.717442007127008 52.78609890523669)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401149987049306 52.715469030988906)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401152143232165 52.71546945289433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13443 | 17200 | Point (6.713816935260826 52.61154819286266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.81360161186159 52.69584300710077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.813604643871609 52.69584284375352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742509185668724 52.77850922833479)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742512403649676 52.77850919450119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14015 | 478019 | Point (6.575451825578481 53.07913491230381)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14015 | 478019 | Point (6.57545571035439 53.07913518848967)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14080 | 47046 | Point (6.680902405670967 53.09505402526744)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14080 | 47046 | Point (6.680906733906691 53.09505415264723)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442469499638507 53.052890850296066)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442472821965742 53.05289129240788)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848197074562383 52.66046789987606)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848200023779711 52.66046767253177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14674 | 482938 | Point (6.671162392805175 52.93370541523071)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15119 | 469366 | Point (6.564670568001946 52.99292255521805)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15206 | 38751 | Point (6.662403683066891 52.84488648466414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15206 | 38751 | Point (6.662406957484539 52.84488658593303)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15276 | 22257 | Point (6.477229411124757 52.720566473789475)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15276 | 22257 | Point (6.4772317619864 52.72056680542373)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15346 | 41110 | Point (6.432716059242972 52.68308333712017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15346 | 41110 | Point (6.43271818804386 52.68308371669974)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15526 | 8432 | Point (6.515152602389969 52.98107898377753)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15922 | 478220 | Point (6.801561935407334 52.77444322615208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15922 | 478220 | Point (6.801565285866813 52.774443095820025)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15992 | 38623 | Point (6.884540593946364 52.83938295638483)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15992 | 38623 | Point (6.884544459147532 52.83938269548657)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16354 | 478018 | Point (6.578268611455606 53.07845088282987)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16354 | 478018 | Point (6.578272503870903 53.07845115496126)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16579 | 482939 | Point (6.670274703568414 52.93386774179458)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17410 | 33399 | Point (6.883688315112349 52.663468981809835)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17410 | 33399 | Point (6.883691354190987 52.6634686932257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17587 | 33406 | Point (6.869711702032903 52.67029542124392)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17587 | 33406 | Point (6.86971474266065 52.67029515815902)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17593 | 31646 | Point (6.692400468361768 52.747297014725405)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17593 | 31646 | Point (6.692403433011663 52.74729705328168)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17799 | 38745 | Point (6.584085064743441 52.87194144417191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17799 | 38745 | Point (6.58408822035244 52.871941663109624)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18101 | 46559 | Point (6.809902200374078 52.65645607497456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18101 | 46559 | Point (6.809899350773827 52.65645623814734)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18963 | 32695 | Point (6.670673430664262 52.93478016437929)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18971 | 8429 | Point (6.585143339158994 52.97697376967829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19012 | 41109 | Point (6.433976051676354 52.697479341905435)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19012 | 41109 | Point (6.433978228340155 52.69747972236105)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19096 | 478009 | Point (6.730996559080094 52.79399082695849)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19096 | 478009 | Point (6.730993306024763 52.79399083988089)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19141 | 41533 | Point (6.718990357718651 52.8101957172471)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19141 | 41533 | Point (6.718987069118754 52.810195708473636)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19146 | 46515 | Point (6.678900538097519 53.058759484361836)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19283 | 11510 | Point (6.848197074562383 52.66046789987606)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19283 | 11510 | Point (6.848200023779711 52.66046767253177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19360 | 28653 | Point (6.692468368665994 52.7469907554415)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19360 | 28653 | Point (6.692465405089936 52.74699071703618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19541 | 478199 | Point (6.718169861520084 52.756008557132155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19541 | 478199 | Point (6.718172924907619 52.75600855757939)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19812 | 46510 | Point (6.687243826978052 53.00159201393433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20297 | 41526 | Point (6.716527931890857 52.78636971110774)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20297 | 41526 | Point (6.716531115978553 52.78636971940846)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20528 | 46513 | Point (6.728296239483005 53.00043749522402)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20547 | 30809 | Point (6.4572638988463 53.04437485360496)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20547 | 30809 | Point (6.457267245612928 53.044375275677105)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20686 | 31639 | Point (6.692412694239646 52.74671267256085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20686 | 31639 | Point (6.692415656568398 52.74671271099892)
