Gevonden: 95 resultaat/resultaten

rm | rmnr | fNaam
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 532516 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | 30267 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13945 | 508436 | Woonhuis
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13945 | 508436 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13951 | 22619 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14301 | 6795 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14776 | 502520 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15387 | 14054 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15843 | 39313 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17267 | 495711 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17267 | 495711 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18235 | 6610 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18276 | 30256 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19252 | 495639 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20031 | 14374 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20804 | 6793 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21063 | 30136 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21164 | 14052 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21430 | 38658 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21614 | 502493 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22113 | 6733 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22476 | 37132 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22608 | 40334 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22859 | 512913 | Zomerhuis
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22859 | 512913 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | 8827 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23820 | 6767 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24626 | 22618 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24925 | 30118 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25220 | 6734 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25261 | 14053 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25377 | 38541 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25584 | 37131 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26344 | 11008 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26570 | 37124 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27095 | 6766 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28057 | 38765 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28065 | 6617 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29302 | 38770 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29336 | 40327 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30050 | 6616 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30779 | 508442 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30951 | 396338 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31884 | 511034 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34767 | 14307 | Woonhuis(K)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34767 | 14307 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35781 | 38499 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36840 | 512911 | Zomerhuis
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36840 | 512911 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37131 | 6782 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37279 | 502486 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37955 | 38554 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/41028 | 30104 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/41467 | 14051 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42344 | 511038 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42529 | 38503 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43022 | 37130 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43659 | 6615 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/45102 | 6798 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/45178 | 6611 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/45509 | 38501 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/45830 | 502513 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/46335 | 6787 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/46599 | 508444 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/46659 | 502507 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/47326 | 341859 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48192 | 6797 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/49453 | 508439 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/50005 | 15065 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/51133 | 6748 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/52452 | 11059 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/52692 | 508440 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/54708 | 508438 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/56973 | 30132 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57466 | 18786 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/59068 | 40324 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/59692 | 22615 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/60054 | 511362 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/60113 | 507071 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/61542 | 370455 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/61763 | 6762 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67993 | 530200 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67994 | 530199 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67995 | 530198 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67996 | 530197 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/68001 | 530443 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/68002 | 530442 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/68501 | 509018 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/68983 | 530447 | Schuur(M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/68983 | 530447 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/73572 | 364803 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/73890 | 517432 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/76634 | 530206 | Boerderij (M)
