Gevonden: 1221 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306224522282 52.27294051454717)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306083610206 52.27294135777735)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056467207100075 52.28257982895145)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056466892212574 52.28258058935722)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 532516 | Point (5.078572120636292 52.29858465346226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10451 | 14525 | Point (5.263261199374762 52.244079090689105)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10451 | 14525 | Point (5.263261305211078 52.244078245745754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10537 | 14533 | Point (5.258025064115881 52.23203881330919)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10537 | 14533 | Point (5.258025163829172 52.23203797092814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993735474825256 52.39468025850131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993734911899015 52.39468099337441)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10796 | 14514 | Point (5.270608145678916 52.262142163977366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10796 | 14514 | Point (5.270608030996508 52.26214301261393)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911615496157619 52.548730511397935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911614517478468 52.54873121050242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | 30267 | Point (5.162428806162189 52.295160676314126)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | 30267 | Point (5.16242904475983 52.29515986292198)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830733903386595 52.16486252147577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830734145009012 52.16486192799072)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11012 | 20253 | Point (5.653700141325693 52.35418541406134)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11205 | 30966 | Point (5.520578237995598 52.200980825331605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929528828307 52.853242240515016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929746792717 52.853243207203576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11666 | 23943 | Point (5.22807329469206 52.25744591592754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11666 | 23943 | Point (5.228073150615957 52.25744675085599)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646183023799343 52.89309487094322)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646182563634871 52.89309390711519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | 14521 | Point (5.263885204887012 52.24613710253962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11776 | 14521 | Point (5.263885097842289 52.24613794784098)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11837 | 501549 | Point (5.159602349217266 52.72927861791496)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11875 | 14508 | Point (5.266880115120578 52.25407640074665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11875 | 14508 | Point (5.266880003941687 52.2540772476039)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Point (5.065747683994305 52.318502502700845)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Point (5.065747323728338 52.31850327169475)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11940 | 8187 | Point (5.776970713759655 52.254329898971875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11940 | 8187 | Point (5.776970997419914 52.25433073010902)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12261 | 30686 | Point (5.055980526712559 52.740816483562945)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12261 | 30686 | Point (5.055979494765373 52.74081730893973)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12333 | 26201 | Point (5.123496243876337 52.20604617502087)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12333 | 26201 | Point (5.12349608428233 52.20604696335686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12454 | 14058 | Point (5.169802707422011 52.6932512255487)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12456 | 26108 | Point (5.00512216860414 52.18646211476307)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12658 | 26206 | Point (5.116411761046657 52.20668626321349)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12658 | 26206 | Point (5.116411596360506 52.20668704822854)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12663 | 30631 | Point (5.023833703078119 52.275096820228136)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | 9622 | Point (5.243211286902264 52.27294224178589)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12704 | 9622 | Point (5.243211140929784 52.27294308308762)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12725 | 30724 | Point (5.069168676423991 52.74753048846903)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.948949799756465 52.67879310843567)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.94894863241612 52.67879385558711)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12769 | 22177 | Point (5.401308024617089 52.94146137937532)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500924040683 52.15588186244516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500979456039 52.15588273488926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12877 | 7008 | Point (4.986885234411256 52.248615380704045)
