Gevonden: 195 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439035440760338 51.777593766215084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439036372933047 51.777593926335655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293073103087791 51.69480917647467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293074480152727 51.69480913219699)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427281142040398 51.60182548322776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427282685567459 51.60182563548109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12922 | 26547 | Point (4.520222536516981 51.794519059554766)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12922 | 26547 | Point (4.520221726175837 51.794518796033664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13522 | 30145 | Point (4.495701745642597 51.79705864507031)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13522 | 30145 | Point (4.495702567064723 51.79705887807215)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15010 | 30153 | Point (4.488768065823014 51.79803069847971)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15115 | 17064 | Point (4.279587938330473 51.795361043533504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15115 | 17064 | Point (4.279588936481336 51.795360975407505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16371 | 35380 | Point (4.144865799008889 51.54357548523942)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16371 | 35380 | Point (4.144867995439502 51.5435752131364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17726 | 19986 | Point (4.275419804696831 51.52959972264364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17726 | 19986 | Point (4.275421843600678 51.52959966220125)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17899 | 23511 | Point (4.011506883603855 51.516559072416754)
