Gevonden: 13 resultaat/resultaten

rm | rmnr | fNaam
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12418 | 32684 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23628 | 520541 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24459 | 524082 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26174 | 28551 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38455 | 33646 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43122 | 28547 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43229 | 32691 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48493 | 28548 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/49134 | 32618 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/56148 | 32681 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57515 | 524087 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/62077 | 32680 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/68927 | 526610 | Boerderij(M1)
