Gevonden: 140 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | 21245 | Point (5.927736339165435 50.90365919568971)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11469 | 22652 | Point (5.990183120019508 51.43779882635829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11632 | 23859 | Point (6.084655029286959 50.91612333494881)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11788 | 8891 | Point (6.120657972659613 51.32509292464665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11808 | 8879 | Point (6.059519223537776 51.256372575475964)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12418 | 32684 | Point (6.011746464998685 51.19875885118052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13090 | 23862 | Point (6.045488657171499 50.91677528536043)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13688 | 23139 | Point (5.941063738865272 50.96834364362052)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13708 | 23846 | Point (6.049357414349147 50.91783189371315)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13907 | 23622 | Point (5.94159099890389 50.97075915213999)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15148 | 28019 | Point (5.929182606843391 50.97004484632073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16251 | 8880 | Point (6.09540990342829 51.29285280385578)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16494 | 22646 | Point (6.037134669045027 51.47058983417737)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16534 | 23841 | Point (6.049466403918986 50.917498675628984)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16572 | 22876 | Point (5.929572627776277 50.97415996310404)
