Gevonden: 1528 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056467207100075 52.28257982895145)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056466892212574 52.28258058935722)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 532516 | Point (5.078572120636292 52.29858465346226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259894831014 52.12742991397416)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259655966269 52.1274302530341)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370358802935 52.08886688832469)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370299419334 52.08886752901592)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608137267755 51.94594426179195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608357572277 51.945944909034516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10396 | 22657 | Point (5.125522309938579 52.03770512752433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10396 | 22657 | Point (5.125522361503607 52.03770590712266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482174117768 51.98836386539577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482326686305 51.98836442900257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10544 | 25986 | Point (4.920658579801928 52.057915538354564)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10544 | 25986 | Point (4.920658584841562 52.05791619637391)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993735474825256 52.39468025850131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993734911899015 52.39468099337441)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10767 | 20105 | Point (5.042462438957231 52.01886783345591)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10767 | 20105 | Point (5.042462515393846 52.01886856909207)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10771 | 34940 | Point (4.75080502211812 51.90491120273821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10812 | 17035 | Point (4.887463037837951 51.90323485528365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | 30267 | Point (5.16242904475983 52.29515986292198)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | 30267 | Point (5.162428806162189 52.295160676314126)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.607674903990473 52.13983453742655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.60767517047653 52.13983416414288)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830734145009012 52.16486192799072)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830733903386595 52.16486252147577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634509051309 51.97499928759607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634668179117 51.97499995776627)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11277 | 19957 | Point (4.758357587299598 52.00073271345966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11323 | 30408 | Point (5.034391795061436 52.05031153426842)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11323 | 30408 | Point (5.034391823556378 52.050312266435036)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507439498442 51.99964705436357)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507555271842 51.99964771231532)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11428 | 22707 | Point (5.137537090706642 51.99746423487794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11428 | 22707 | Point (5.137537190530359 51.99746501864075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11482 | 8973 | Point (4.991447717485977 52.01024951930924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11482 | 8973 | Point (4.991447809504144 52.010250223783366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11483 | 8999 | Point (4.749025849183287 51.93606464880962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11577 | 24047 | Point (5.0732307724778 51.91690206592456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11577 | 24047 | Point (5.073230555173843 51.91690131559711)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.88900010861137 52.03853313094497)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.889000149517519 52.03853376455032)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434882880936 52.08204294314316)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434812512175 52.08204346509814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900304312084 52.020190987828975)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900383235528 52.020191585763335)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810989094741902 51.945013563000956)
