Gevonden: 262 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10308 | Honthem | 8 | 6269NR | Margraten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10318 | Klompestraat | 7 | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10318 | Klompestraat | 5 | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11517 | Vroelenstraat | 6 | 6255AL | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11843 | Bergenhuizen | 12 | 6255NK | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12721 | Rijksweg | 119 | 6247AD | Gronsveld
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13313 | Sint Jozefstraat | 62 | 6245LP | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13313 | Sint Jozefstraat | 60 | 6245LP | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13781 | Onderstraat | 10 | 6255ND | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 44 A | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 42 | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 44 | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14637 | Dorpsstraat | 40 A | 6252ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14792 | Dorpsstraat | 148 | 6251ND | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 A | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 B | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 C | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 D | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 E | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14882 | Langstraat | 1 | 6245KK | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15338 | Rijckholterweg | 4 | 6245LS | Eijsden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15825 | Schilberg | 36 | 6255NR | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16338 | Dorpsstraat | 64 | 6252NE | Eckelrade
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 3 | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 A | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 B | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 C | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 D | 6255AE | Noorbeek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16404 | Klompestraat | 1 E | 6255AE | Noorbeek
