Gevonden: 214 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10045 | 32116 | Point (5.804414539303473 51.767794256525576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10175 | 523675 | Point (5.842109122725913 51.89837333659632)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10964 | 9557 | Point (5.72345483603263 51.87388429987683)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11048 | 9328 | Point (5.701309881197375 51.82813183734272)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11233 | 9027 | Point (6.044540829358434 51.58570478707579)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11448 | 36724 | Point (5.78597871721935 51.91101726154023)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11557 | 37218 | Point (5.973153529565921 51.50925715903077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11805 | 9559 | Point (5.703985553108323 51.87853151486433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12008 | 35805 | Point (5.940549975681281 51.8444782198257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12181 | 36727 | Point (5.772143578583065 51.89920778120115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12415 | 38663 | Point (6.222941784019701 51.960153996080045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12618 | 38848 | Point (5.970879969931351 51.95635389922673)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12618 | 38848 | Point (5.97087993941354 51.95635462432888)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13421 | 32119 | Point (5.779493139466287 51.755727859732765)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773165820528767 51.58142401535065)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773166158386676 51.58142318763177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14211 | 9542 | Point (5.73943701272913 51.87315430891403)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565908395845 51.673456744759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565473159838 51.673457495163014)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14526 | 520447 | Point (5.917931325923259 51.84124797188462)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14906 | 22829 | Point (6.224960816161606 51.99503334723344)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15786 | 21984 | Point (5.715913314053617 51.948670543890024)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16464 | 36754 | Point (5.74047300959253 51.90521267724841)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16827 | 36728 | Point (5.79459369714898 51.90905519722451)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17543 | 9549 | Point (5.808279131184734 51.85431251308856)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17604 | 35814 | Point (5.925542898934454 51.82977091057076)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18422 | 9535 | Point (5.778527752069874 51.87483715814415)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18522 | 28438 | Point (6.05069884429675 51.55095505152905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19177 | 523918 | Point (5.735705930408352 51.918224049376036)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19790 | 28437 | Point (6.051021668706851 51.55133973849617)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20095 | 32133 | Point (5.718848004553656 51.77885383416477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20400 | 8940 | Point (5.888040390811997 51.88962943875003)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20910 | 38847 | Point (5.98147854666237 51.96131633225746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20910 | 38847 | Point (5.981478521871445 51.961317051081764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21088 | 39638 | Point (5.753704208229532 51.793877627436956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21645 | 14949 | Point (5.832758679103684 51.9004757229865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21645 | 14949 | Point (5.832758615282153 51.900476517395546)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22661 | 9541 | Point (5.742493988824058 51.87594946919437)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22933 | 21983 | Point (5.82033723752036 51.9639537473309)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23830 | 9546 | Point (5.732311570404872 51.86615555157353)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24060 | 9534 | Point (5.776207552496775 51.875213394452516)
