Gevonden: 282 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | Oude Rijksweg | 128 | 7951DM | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | Oude Rijksweg | 128 A | 7951DM | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | Oude Rijksweg | 348 | 7954DT | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | Oude Rijksweg | 348 A | 7954DT | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | Oude Rijksweg | 665 | 7954GR | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | Oude Rijksweg | 665 A | 7954GR | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | Oude Rijksweg | 278 | 7954DS | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | Oude Rijksweg | 280 | 7954DS | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | Oude Rijksweg | 322 | 7954DT | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | Oude Rijksweg | 274 | 7954DS | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | Oude Rijksweg | 274 A | 7954DS | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | Oude Rijksweg | 577 | 7954GM | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | Oude Rijksweg | 317 | 7954EK | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | Oude Rijksweg | 355 | 7954EL | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | Oude Rijksweg | 195 | 7951EE | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | Oude Rijksweg | 195 A | 7951EE | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | Oude Rijksweg | 645 | 7954GP | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | Oude Rijksweg | 288 | 7954DS | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | Oude Rijksweg | 176 | 7951DN | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | Oude Rijksweg | 225 | 7954EH | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | Oude Rijksweg | 225 A | 7954EH | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | Oude Rijksweg | 637 | 7954GP | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15267 | Oude Rijksweg | 19 | 7951DX | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16273 | Oude Rijksweg | 681 | 7954GR | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16418 | Oude Rijksweg | 81 a | 7951EA | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16418 | Oude Rijksweg | 81 | 7951EA | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16790 | Oude Rijksweg | 34 | 7951DJ | Staphorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17377 | Oude Rijksweg | 669 | 7954GR | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17377 | Oude Rijksweg | 669 A | 7954GR | Rouveen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17508 | Middenwolderweg | 13 | 7951EC | Staphorst
